Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
0;20.76;21.0;120.0;255.0
30;20.2;20.0;120.0;255.0
60;19.89;20.0;120.0;255.0
90;20.0;20.0;120.0;255.0
120;20.05;20.0;120.0;255.0
150;20.07;20.0;120.0;255.0
180;20.07;20.0;120.0;255.0
210;20.05;20.0;120.0;255.0
240;20.03;20.0;120.0;255.0
270;20.01;20.0;120.0;255.0
300;20.01;20.0;120.0;255.0
330;20.0;20.0;120.0;255.0
360;20.0;20.0;120.0;255.0
390;19.99;20.0;120.0;255.0
420;19.98;20.0;120.0;255.0
450;19.99;20.0;120.0;255.0
480;20.0;20.0;120.0;255.0
510;20.0;20.0;120.0;255.0
540;19.99;20.0;120.0;255.0
570;19.99;20.0;120.0;255.0
600;19.99;20.0;120.0;255.0
630;19.98;20.01;120.0;255.0
660;19.92;20.11;120.0;255.0
690;20.04;20.21;120.0;255.0
720;20.11;20.31;120.0;255.0
750;20.14;20.41;120.0;255.0
780;20.35;20.51;120.0;255.0
810;20.57;20.61;120.0;255.0
840;20.66;20.71;120.0;255.0
870;20.76;20.81;120.0;255.0
900;20.83;20.91;120.0;255.0
930;20.9;21.01;120.0;255.0
960;20.94;21.11;120.0;255.0
990;20.9;21.21;120.0;255.0
1020;21.12;21.31;120.0;255.0
1050;21.33;21.41;120.0;255.0
1080;21.46;21.51;120.0;255.0
1110;21.56;21.61;120.0;255.0
1140;21.64;21.71;120.0;255.0
1170;21.68;21.81;120.0;255.0
1200;21.68;21.91;120.0;255.0
1230;21.75;22.01;120.0;255.0
1260;21.97;22.11;120.0;255.0
1290;22.14;22.21;120.0;255.0
1320;22.26;22.31;120.0;255.0
1350;22.36;22.41;120.0;255.0
1380;22.45;22.51;120.0;255.0
1410;22.53;22.61;120.0;255.0
1440;22.6;22.71;120.0;255.0
1470;22.71;22.81;120.0;255.0
1500;22.78;22.91;120.0;255.0
1530;22.87;23.01;120.0;255.0
1560;22.97;23.11;120.0;255.0
1590;23.07;23.21;120.0;255.0
1620;23.19;23.31;120.0;255.0
1650;23.26;23.41;120.0;255.0
1680;23.39;23.51;120.0;255.0
1710;23.49;23.61;120.0;255.0
1740;23.6;23.71;120.0;255.0
1770;23.7;23.81;120.0;255.0
1800;23.8;23.91;120.0;255.0
1830;23.89;24.01;120.0;255.0
1860;23.98;24.11;120.0;255.0
1890;24.08;24.21;120.0;255.0
1920;24.18;24.31;120.0;255.0
1950;24.28;24.41;120.0;255.0
1980;24.37;24.51;120.0;255.0
2010;24.48;24.61;120.0;255.0
2040;24.59;24.71;120.0;255.0
2070;24.68;24.81;120.0;255.0
2100;24.78;24.91;120.0;255.0
2130;24.88;25.0;120.0;255.0
2160;24.98;25.0;120.0;255.0
2190;25.01;25.0;120.0;255.0
2220;25.03;25.0;120.0;255.0
2250;25.03;25.0;120.0;255.0
2280;25.03;25.0;120.0;255.0
2310;24.99;25.0;120.0;255.0
2340;25.0;25.0;120.0;255.0
2370;24.98;25.0;120.0;255.0
2400;24.98;25.0;120.0;255.0
2430;24.95;25.0;120.0;255.0
2460;24.87;25.0;120.0;255.0
2490;24.94;25.0;120.0;255.0
2520;25.03;25.0;120.0;255.0
2550;25.06;25.0;120.0;255.0
2580;25.03;25.0;120.0;255.0
2610;25.05;25.0;120.0;255.0
2640;25.03;25.0;120.0;255.0
2670;25.0;25.0;120.0;255.0
2700;24.99;25.0;120.0;255.0
2730;24.95;25.0;120.0;255.0
2760;24.88;25.0;120.0;255.0
2790;24.95;25.0;120.0;255.0
2820;25.03;25.0;120.0;255.0
2850;25.06;25.0;120.0;255.0
2880;25.06;25.0;120.0;255.0
2910;25.03;25.0;120.0;255.0
2940;25.03;25.0;120.0;255.0
2970;25.01;25.0;120.0;255.0
3000;24.98;25.0;120.0;255.0
3030;24.95;25.0;120.0;255.0
3060;24.92;25.0;120.0;255.0
3090;24.9;25.0;120.0;255.0
3120;25.0;25.0;120.0;255.0
3150;25.09;25.0;120.0;255.0
3180;25.07;25.0;120.0;255.0
3210;25.06;25.0;120.0;255.0
3240;25.05;25.0;120.0;255.0
3270;25.03;25.0;120.0;255.0
3300;25.0;25.0;120.0;255.0
3330;24.98;25.0;120.0;255.0
3360;24.94;25.0;120.0;255.0
3390;24.88;25.0;120.0;255.0
3420;24.98;25.0;120.0;255.0
3450;25.05;25.0;120.0;255.0
3480;25.06;25.0;120.0;255.0
3510;25.06;25.0;120.0;255.0
3540;25.03;25.0;120.0;255.0
3570;25.03;25.0;120.0;255.0
3600;25.0;25.0;120.0;255.0
3630;24.99;25.0;120.0;255.0
3660;24.95;25.0;120.0;255.0
3690;24.9;25.0;120.0;255.0
3720;24.9;25.0;120.0;255.0
3750;25.01;25.0;120.0;255.0
3780;25.05;25.0;120.0;255.0
3810;25.07;25.0;120.0;255.0
3840;25.05;25.0;120.0;255.0
3870;25.03;25.0;120.0;255.0
3900;25.03;25.0;120.0;255.0
3930;25.01;25.0;120.0;255.0
3960;24.98;25.0;120.0;255.0
3990;24.92;25.0;120.0;255.0
4020;24.9;25.0;120.0;255.0
4050;25.0;25.0;120.0;255.0
4080;25.06;25.0;120.0;255.0
4110;25.06;25.0;120.0;255.0
4140;25.06;25.0;120.0;255.0
4170;25.03;25.0;120.0;255.0
4200;25.01;25.0;120.0;255.0
4230;25.0;25.0;120.0;255.0
4260;24.99;25.0;120.0;255.0
4290;24.98;25.0;120.0;255.0
4320;24.95;25.0;120.0;255.0
4350;24.89;25.0;120.0;255.0
4380;24.94;25.0;120.0;255.0
4410;25.03;25.0;120.0;255.0
4440;25.07;25.0;120.0;255.0
4470;25.09;25.0;120.0;255.0
