Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;19.74;20.0;120.0;255.0
30;19.81;20.0;120.0;255.0
60;19.95;20.0;120.0;255.0
90;20.01;20.0;120.0;255.0
120;20.01;20.0;120.0;255.0
150;20.03;20.0;120.0;255.0
180;20.01;20.0;120.0;255.0
210;20.01;20.0;120.0;255.0
240;20.03;20.0;120.0;255.0
270;20.01;20.0;120.0;255.0
300;20.0;20.0;120.0;255.0
330;20.0;20.0;120.0;255.0
360;19.99;20.0;120.0;255.0
390;19.95;20.0;120.0;255.0
420;19.92;20.0;120.0;255.0
450;19.98;20.0;120.0;255.0
480;20.05;20.0;120.0;255.0
510;20.05;20.0;120.0;255.0
540;20.05;20.0;120.0;255.0
570;20.04;20.0;120.0;255.0
600;20.01;20.0;120.0;255.0
630;20.03;20.09;120.0;255.0
660;20.05;20.19;120.0;255.0
690;20.07;20.29;120.0;255.0
720;20.12;20.39;120.0;255.0
750;20.2;20.49;120.0;255.0
780;20.43;20.59;120.0;255.0
810;20.63;20.69;120.0;255.0
840;20.76;20.79;120.0;255.0
870;20.84;20.89;120.0;255.0
900;20.9;20.99;120.0;255.0
930;20.92;21.09;120.0;255.0
960;20.96;21.19;120.0;255.0
990;21.09;21.29;120.0;255.0
1020;21.27;21.39;120.0;255.0
1050;21.42;21.49;120.0;255.0
1080;21.53;21.59;120.0;255.0
1110;21.62;21.69;120.0;255.0
1140;21.69;21.79;120.0;255.0
1170;21.78;21.89;120.0;255.0
1200;21.86;21.99;120.0;255.0
1230;21.97;22.09;120.0;255.0
1260;22.05;22.19;120.0;255.0
1290;22.16;22.29;120.0;255.0
1320;22.26;22.39;120.0;255.0
1350;22.36;22.49;120.0;255.0
1380;22.45;22.59;120.0;255.0
1410;22.56;22.69;120.0;255.0
1440;22.65;22.79;120.0;255.0
1470;22.76;22.89;120.0;255.0
1500;22.86;22.99;120.0;255.0
1530;22.96;23.09;120.0;255.0
1560;23.06;23.19;120.0;255.0
1590;23.15;23.29;120.0;255.0
1620;23.26;23.39;120.0;255.0
1650;23.37;23.49;120.0;255.0
1680;23.45;23.59;120.0;255.0
1710;23.56;23.69;120.0;255.0
1740;23.67;23.79;120.0;255.0
1770;23.78;23.89;120.0;255.0
1800;23.87;23.99;120.0;255.0
1830;23.96;24.09;120.0;255.0
1860;24.05;24.19;120.0;255.0
1890;24.15;24.29;120.0;255.0
1920;24.25;24.39;120.0;255.0
1950;24.37;24.49;120.0;255.0
1980;24.46;24.59;120.0;255.0
2010;24.56;24.69;120.0;255.0
