Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;21.23;5.0;120.0;255.0
1;21.24;21.22;120.0;255.0
2;21.23;25.0;120.0;255.0
3;21.24;25.0;120.0;255.0
4;21.24;25.0;120.0;255.0
5;21.25;25.0;120.0;255.0
6;21.25;25.0;120.0;255.0
7;21.27;25.0;120.0;255.0
8;21.27;25.0;120.0;255.0
9;21.27;25.0;120.0;255.0
10;21.27;25.0;120.0;255.0
11;21.25;25.0;120.0;255.0
12;21.25;25.0;120.0;255.0
13;21.25;25.0;120.0;255.0
14;21.25;25.0;120.0;255.0
15;21.25;25.0;120.0;255.0
16;21.24;25.0;120.0;255.0
17;21.25;25.0;120.0;255.0
18;21.25;25.0;120.0;255.0
19;21.25;25.0;120.0;255.0
20;21.27;25.0;120.0;255.0
21;21.28;25.0;120.0;255.0
22;21.29;25.0;120.0;255.0
23;21.3;25.0;120.0;255.0
24;21.33;25.0;120.0;255.0
25;21.34;25.0;120.0;255.0
26;21.36;25.0;120.0;255.0
27;21.39;25.0;120.0;255.0
28;21.42;25.0;120.0;255.0
29;21.45;25.0;120.0;255.0
30;21.47;25.0;120.0;255.0
31;21.51;25.0;120.0;255.0
32;21.55;25.0;120.0;255.0
33;21.58;25.0;120.0;255.0
34;21.62;25.0;120.0;255.0
35;21.66;25.0;120.0;255.0
36;21.69;25.0;120.0;255.0
37;21.73;25.0;120.0;255.0
38;21.78;25.0;120.0;255.0
39;21.83;25.0;120.0;255.0
40;21.87;25.0;120.0;255.0
41;21.92;25.0;120.0;255.0
42;21.97;25.0;120.0;255.0
43;22.01;25.0;120.0;255.0
44;22.04;25.0;120.0;255.0
45;22.09;25.0;120.0;255.0
46;22.14;25.0;120.0;255.0
47;22.19;25.0;120.0;255.0
48;22.23;25.0;120.0;255.0
49;22.28;25.0;120.0;255.0
50;22.34;25.0;120.0;255.0
51;22.4;25.0;120.0;255.0
52;22.45;25.0;120.0;255.0
53;22.51;25.0;120.0;255.0
54;22.56;25.0;120.0;255.0
55;22.6;25.0;120.0;255.0
56;22.65;25.0;120.0;255.0
57;22.71;25.0;120.0;255.0
58;22.75;25.0;120.0;255.0
59;22.82;25.0;120.0;255.0
60;22.86;25.0;120.0;255.0
61;22.91;25.0;120.0;255.0
62;22.96;25.0;120.0;255.0
63;23.0;25.0;120.0;255.0
64;23.04;25.0;120.0;255.0
65;23.1;25.0;120.0;255.0
66;23.15;25.0;120.0;255.0
67;23.19;25.0;120.0;255.0
68;23.24;25.0;120.0;255.0
69;23.28;25.0;120.0;255.0
70;23.33;25.0;120.0;255.0
71;23.37;25.0;120.0;255.0
72;23.41;25.0;120.0;255.0
73;23.45;25.0;120.0;255.0
74;23.5;25.0;120.0;255.0
75;23.56;25.0;120.0;255.0
76;23.61;25.0;120.0;255.0
77;23.65;25.0;120.0;255.0
78;23.69;25.0;120.0;255.0
79;23.72;25.0;120.0;255.0
80;23.78;25.0;120.0;255.0
81;23.81;25.0;120.0;255.0
82;23.85;25.0;120.0;255.0
83;23.87;25.0;120.0;255.0
84;23.91;25.0;120.0;255.0
85;23.94;25.0;120.0;255.0
86;23.98;25.0;120.0;255.0
87;24.0;25.0;120.0;255.0
88;24.03;25.0;120.0;255.0
89;24.05;25.0;120.0;255.0
90;24.09;25.0;120.0;255.0
91;24.11;25.0;120.0;255.0
92;24.15;25.0;120.0;255.0
93;24.18;25.0;120.0;255.0
94;24.2;25.0;120.0;255.0
95;24.22;25.0;120.0;255.0
96;24.25;25.0;120.0;255.0
97;24.28;25.0;120.0;255.0
98;24.3;25.0;120.0;255.0
99;24.33;25.0;120.0;255.0
100;24.37;25.0;120.0;255.0
101;24.39;25.0;120.0;255.0
102;24.41;25.0;120.0;255.0
103;24.44;25.0;120.0;255.0
104;24.46;25.0;120.0;255.0
105;24.48;25.0;120.0;255.0
106;24.51;25.0;120.0;255.0
107;24.53;25.0;120.0;255.0
108;24.55;25.0;120.0;255.0
109;24.57;25.0;120.0;255.0
110;24.59;25.0;120.0;255.0
111;24.61;25.0;120.0;255.0
112;24.62;25.0;120.0;255.0
113;24.64;25.0;120.0;255.0
114;24.66;25.0;120.0;255.0
115;24.68;25.0;120.0;255.0
116;24.7;25.0;120.0;255.0
117;24.7;25.0;120.0;255.0
118;24.73;25.0;120.0;255.0
119;24.74;25.0;120.0;255.0
120;24.76;25.0;120.0;255.0
121;24.77;25.0;120.0;255.0
122;24.79;25.0;120.0;255.0
123;24.81;25.0;120.0;255.0
124;24.81;25.0;120.0;255.0
125;24.83;25.0;120.0;255.0
126;24.83;25.0;120.0;255.0
127;24.84;25.0;120.0;255.0
128;24.85;25.0;120.0;255.0
129;24.87;25.0;120.0;255.0
130;24.87;25.0;120.0;255.0
131;24.88;25.0;120.0;255.0
132;24.89;25.0;120.0;255.0
133;24.89;25.0;120.0;255.0
134;24.89;25.0;120.0;255.0
135;24.9;25.0;120.0;255.0
136;24.92;25.0;120.0;255.0
137;24.92;25.0;120.0;255.0
138;24.92;25.0;120.0;255.0
139;24.92;25.0;120.0;255.0
140;24.94;25.0;120.0;255.0
141;24.95;25.0;120.0;255.0
142;24.96;25.0;120.0;255.0
143;24.96;25.0;120.0;255.0
144;24.98;25.0;120.0;255.0
145;24.98;25.0;120.0;255.0
146;24.99;25.0;120.0;255.0
147;25.0;25.0;120.0;255.0
148;25.0;25.0;120.0;255.0
149;25.0;25.0;120.0;255.0
150;25.01;25.0;120.0;255.0
151;25.01;25.0;120.0;255.0
152;25.01;25.0;120.0;255.0
153;25.01;25.0;120.0;255.0
154;25.03;25.0;120.0;255.0
155;25.03;25.0;120.0;255.0
156;25.03;25.0;120.0;255.0
157;25.03;25.0;120.0;255.0
158;25.05;25.0;120.0;255.0
159;25.05;25.0;120.0;255.0
160;25.05;25.0;120.0;255.0
161;25.06;25.0;120.0;255.0
162;25.06;25.0;120.0;255.0
163;25.06;25.0;120.0;255.0
164;25.06;25.0;120.0;255.0
165;25.06;25.0;120.0;255.0
166;25.06;25.0;120.0;255.0
167;25.06;25.0;120.0;255.0
168;25.07;25.0;120.0;255.0
169;25.07;25.0;120.0;255.0
170;25.07;25.0;120.0;255.0
171;25.07;25.0;120.0;255.0
172;25.07;25.0;120.0;255.0
173;25.07;25.0;120.0;255.0
174;25.07;25.0;120.0;255.0
175;25.07;25.0;120.0;255.0
176;25.07;25.0;120.0;255.0
177;25.09;25.0;120.0;255.0
178;25.09;25.0;120.0;255.0
179;25.09;25.0;120.0;255.0
180;25.09;25.0;120.0;255.0
181;25.09;25.0;120.0;255.0
182;25.09;25.0;120.0;255.0
183;25.09;25.0;120.0;255.0
184;25.09;25.0;120.0;255.0
185;25.09;25.0;120.0;255.0
186;25.09;25.0;120.0;255.0
187;25.09;25.0;120.0;255.0
188;25.09;25.0;120.0;255.0
189;25.09;25.0;120.0;255.0
190;25.09;25.0;120.0;255.0
191;25.07;25.0;120.0;255.0
192;25.07;25.0;120.0;255.0
193;25.09;25.0;120.0;255.0
194;25.09;25.0;120.0;255.0
195;25.09;25.0;120.0;255.0
196;25.09;25.0;120.0;255.0
197;25.09;25.0;120.0;255.0
198;25.09;25.0;120.0;255.0
199;25.1;25.0;120.0;255.0
200;25.1;25.0;120.0;255.0
201;25.1;25.0;120.0;255.0
202;25.1;25.0;120.0;255.0
203;25.1;25.0;120.0;255.0
204;25.1;25.0;120.0;255.0
205;25.1;25.0;120.0;255.0
206;25.1;25.0;120.0;255.0
207;25.1;25.0;120.0;255.0
208;25.1;25.0;120.0;255.0
209;25.1;25.0;120.0;255.0
210;25.1;25.0;120.0;255.0
211;25.1;25.0;120.0;255.0
212;25.09;25.0;120.0;255.0
213;25.09;25.0;120.0;255.0
214;25.09;25.0;120.0;255.0
215;25.09;25.0;120.0;255.0
216;25.09;25.0;120.0;255.0
217;25.09;25.0;120.0;255.0
218;25.09;25.0;120.0;255.0
219;25.09;25.0;120.0;255.0
220;25.09;25.0;120.0;255.0
221;25.09;25.0;120.0;255.0
222;25.09;25.0;120.0;255.0
223;25.09;25.0;120.0;255.0
224;25.09;25.0;120.0;255.0
225;25.09;25.0;120.0;255.0
226;25.09;25.0;120.0;255.0
227;25.07;25.0;120.0;255.0
228;25.09;25.0;120.0;255.0
229;25.07;25.0;120.0;255.0
230;25.07;25.0;120.0;255.0
231;25.07;25.0;120.0;255.0
232;25.07;25.0;120.0;255.0
233;25.07;25.0;120.0;255.0
234;25.07;25.0;120.0;255.0
235;25.07;25.0;120.0;255.0
236;25.07;25.0;120.0;255.0
237;25.07;25.0;120.0;255.0
238;25.07;25.0;120.0;255.0
239;25.07;25.0;120.0;255.0
240;25.09;25.0;120.0;255.0
241;25.09;25.0;120.0;255.0
242;25.09;25.0;120.0;255.0
243;25.09;25.0;120.0;255.0
244;25.09;25.0;120.0;255.0
245;25.09;25.0;120.0;255.0
246;25.09;25.0;120.0;255.0
247;25.09;25.0;120.0;255.0
248;25.09;25.0;120.0;255.0
249;25.09;25.0;120.0;255.0
250;25.09;25.0;120.0;255.0
251;25.09;25.0;120.0;255.0
252;25.09;25.0;120.0;255.0
253;25.09;25.0;120.0;255.0
254;25.09;25.0;120.0;255.0
255;25.09;25.0;120.0;255.0
256;25.07;25.0;120.0;255.0
257;25.07;25.0;120.0;255.0
258;25.07;25.0;120.0;255.0
259;25.07;25.0;120.0;255.0
260;25.07;25.0;120.0;255.0
261;25.07;25.0;120.0;255.0
262;25.06;25.0;120.0;255.0
263;25.06;25.0;120.0;255.0
264;25.05;25.0;120.0;255.0
265;25.05;25.0;120.0;255.0
266;25.05;25.0;120.0;255.0
267;25.05;25.0;120.0;255.0
268;25.05;25.0;120.0;255.0
269;25.05;25.0;120.0;255.0
270;25.03;25.0;120.0;255.0
271;25.03;25.0;120.0;255.0
272;25.03;25.0;120.0;255.0
273;25.03;25.0;120.0;255.0
274;25.03;25.0;120.0;255.0
275;25.03;25.0;120.0;255.0
276;25.03;25.0;120.0;255.0
277;25.05;25.0;120.0;255.0
278;25.05;25.0;120.0;255.0
279;25.05;25.0;120.0;255.0
280;25.05;25.0;120.0;255.0
281;25.05;25.0;120.0;255.0
282;25.05;25.0;120.0;255.0
283;25.05;25.0;120.0;255.0
284;25.05;25.0;120.0;255.0
285;25.05;25.0;120.0;255.0
286;25.05;25.0;120.0;255.0
287;25.05;25.0;120.0;255.0
288;25.03;25.0;120.0;255.0
289;25.03;25.0;120.0;255.0
290;25.03;25.0;120.0;255.0
291;25.03;25.0;120.0;255.0
292;25.03;25.0;120.0;255.0
293;25.03;25.0;120.0;255.0
294;25.03;25.0;120.0;255.0
295;25.03;25.0;120.0;255.0
296;25.03;25.0;120.0;255.0
297;25.03;25.0;120.0;255.0
298;25.03;25.0;120.0;255.0
299;25.03;25.0;120.0;255.0
300;25.03;25.0;120.0;255.0
301;25.03;25.0;120.0;255.0
302;25.01;25.0;120.0;255.0
303;25.01;25.0;120.0;255.0
304;25.01;25.0;120.0;255.0
305;25.01;25.0;120.0;255.0
306;25.01;25.0;120.0;255.0
307;25.01;25.0;120.0;255.0
308;25.01;25.0;120.0;255.0
309;25.01;25.0;120.0;255.0
310;25.01;25.0;120.0;255.0
311;25.03;25.0;120.0;255.0
312;25.03;25.0;120.0;255.0
313;25.03;25.0;120.0;255.0
314;25.03;25.0;120.0;255.0
315;25.03;25.0;120.0;255.0
316;25.03;25.0;120.0;255.0
317;25.03;25.0;120.0;255.0
318;25.03;25.0;120.0;255.0
319;25.03;25.0;120.0;255.0
320;25.03;25.0;120.0;255.0
321;25.03;25.0;120.0;255.0
322;25.03;25.0;120.0;255.0
323;25.03;25.0;120.0;255.0
324;25.03;25.0;120.0;255.0
325;25.03;25.0;120.0;255.0
326;25.03;25.0;120.0;255.0
327;25.03;25.0;120.0;255.0
328;25.03;25.0;120.0;255.0
329;25.03;25.0;120.0;255.0
330;25.01;25.0;120.0;255.0
331;25.03;25.0;120.0;255.0
332;25.03;25.0;120.0;255.0
333;25.01;25.0;120.0;255.0
334;25.01;25.0;120.0;255.0
335;25.01;25.0;120.0;255.0
336;25.01;25.0;120.0;255.0
337;25.01;25.0;120.0;255.0
338;25.01;25.0;120.0;255.0
339;25.01;25.0;120.0;255.0
340;25.0;25.0;120.0;255.0
341;25.0;25.0;120.0;255.0
342;25.0;25.0;120.0;255.0
343;25.0;25.0;120.0;255.0
344;25.0;25.0;120.0;255.0
345;25.0;25.0;120.0;255.0
346;25.0;25.0;120.0;255.0
347;25.0;25.0;120.0;255.0
348;25.0;25.0;120.0;255.0
349;25.0;25.0;120.0;255.0
350;25.0;25.0;120.0;255.0
351;25.0;25.0;120.0;255.0
352;25.0;25.0;120.0;255.0
353;25.0;25.0;120.0;255.0
354;25.0;25.0;120.0;255.0
355;25.0;25.0;120.0;255.0
356;25.0;25.0;120.0;255.0
357;25.0;25.0;120.0;255.0
358;25.0;25.0;120.0;255.0
359;25.01;25.0;120.0;255.0
360;25.01;25.0;120.0;255.0
361;25.01;25.0;120.0;255.0
362;25.01;25.0;120.0;255.0
363;25.01;25.0;120.0;255.0
364;25.01;25.0;120.0;255.0
365;25.01;25.0;120.0;255.0
366;25.01;25.0;120.0;255.0
367;25.01;25.0;120.0;255.0
368;25.01;25.0;120.0;255.0
369;25.01;25.0;120.0;255.0
370;25.01;25.0;120.0;255.0
371;25.0;25.0;120.0;255.0
372;25.0;25.0;120.0;255.0
373;25.0;25.0;120.0;255.0
374;25.0;25.0;120.0;255.0
375;25.0;25.0;120.0;255.0
376;25.0;25.0;120.0;255.0
377;25.0;25.0;120.0;255.0
378;24.99;25.0;120.0;255.0
379;24.99;25.0;120.0;255.0
380;24.99;25.0;120.0;255.0
381;24.99;25.0;120.0;255.0
382;24.99;25.0;120.0;255.0
383;24.99;25.0;120.0;255.0
384;24.99;25.0;120.0;255.0
385;24.99;25.0;120.0;255.0
386;24.99;25.0;120.0;255.0
387;24.99;25.0;120.0;255.0
388;24.99;25.0;120.0;255.0
389;24.99;25.0;120.0;255.0
390;24.99;25.0;120.0;255.0
391;24.99;25.0;120.0;255.0
392;24.99;25.0;120.0;255.0
393;24.99;25.0;120.0;255.0
394;24.99;25.0;120.0;255.0
395;24.99;25.0;120.0;255.0
396;24.99;25.0;120.0;255.0
397;24.99;25.0;120.0;255.0
398;25.0;25.0;120.0;255.0
399;24.99;25.0;120.0;255.0
400;24.99;25.0;120.0;255.0
401;24.99;25.0;120.0;255.0
402;24.99;25.0;120.0;255.0
403;24.99;25.0;120.0;255.0
404;24.99;25.0;120.0;255.0
405;25.0;25.0;120.0;255.0
406;25.0;25.0;120.0;255.0
407;25.0;25.0;120.0;255.0
408;24.99;25.0;120.0;255.0
409;25.0;25.0;120.0;255.0
410;25.0;25.0;120.0;255.0
411;25.0;25.0;120.0;255.0
412;25.0;25.0;120.0;255.0
413;25.0;25.0;120.0;255.0
414;25.0;25.0;120.0;255.0
415;24.99;25.0;120.0;255.0
416;24.99;25.0;120.0;255.0
417;24.99;25.0;120.0;255.0
418;24.99;25.0;120.0;255.0
419;24.99;25.0;120.0;255.0
420;24.99;25.0;120.0;255.0
421;24.98;25.0;120.0;255.0
422;24.98;25.0;120.0;255.0
423;24.98;25.0;120.0;255.0
424;24.98;25.0;120.0;255.0
425;24.98;25.0;120.0;255.0
426;24.98;25.0;120.0;255.0
427;24.98;25.0;120.0;255.0
428;24.98;25.0;120.0;255.0
429;24.98;25.0;120.0;255.0
430;24.98;25.0;120.0;255.0
431;24.98;25.0;120.0;255.0
432;24.98;25.0;120.0;255.0
433;24.98;25.0;120.0;255.0
434;24.98;25.0;120.0;255.0
435;24.98;25.0;120.0;255.0
436;24.98;25.0;120.0;255.0
437;24.98;25.0;120.0;255.0
438;24.98;25.0;120.0;255.0
439;24.98;25.0;120.0;255.0
440;24.99;25.0;120.0;255.0
441;24.99;25.0;120.0;255.0
442;24.99;25.0;120.0;255.0
443;24.99;25.0;120.0;255.0
444;24.99;25.0;120.0;255.0
445;24.99;25.0;120.0;255.0
446;24.99;25.0;120.0;255.0
447;24.99;25.0;120.0;255.0
448;24.99;25.0;120.0;255.0
449;24.99;25.0;120.0;255.0
450;24.99;25.0;120.0;255.0
451;24.99;25.0;120.0;255.0
452;24.99;25.0;120.0;255.0
453;24.99;25.0;120.0;255.0
454;24.99;25.0;120.0;255.0
455;24.99;25.0;120.0;255.0
456;24.99;25.0;120.0;255.0
457;24.99;25.0;120.0;255.0
458;24.99;25.0;120.0;255.0
459;24.99;25.0;120.0;255.0
460;24.99;25.0;120.0;255.0
461;24.99;25.0;120.0;255.0
462;24.99;25.0;120.0;255.0
463;24.99;25.0;120.0;255.0
464;24.99;25.0;120.0;255.0
465;24.99;25.0;120.0;255.0
466;24.99;25.0;120.0;255.0
467;24.99;25.0;120.0;255.0
