Time Current Current STD
13/06/2019 15:04:12 7.750550E-9 1.301890E-12
13/06/2019 15:04:44 7.750250E-9 1.059678E-12
13/06/2019 15:05:17 7.755600E-9 1.271613E-12
13/06/2019 15:05:50 7.751850E-9 1.059678E-12
13/06/2019 15:06:23 7.752150E-9 1.241337E-12
13/06/2019 15:06:55 7.751400E-9 9.082951E-13
13/06/2019 15:07:28 7.752300E-9 1.089954E-12
13/06/2019 15:08:01 7.751300E-9 1.029401E-12
13/06/2019 15:08:33 7.749450E-9 1.241337E-12
13/06/2019 15:09:06 7.748500E-9 1.150507E-12
13/06/2019 15:09:39 7.748150E-9 8.780186E-13
13/06/2019 15:10:11 7.746750E-9 1.665208E-12
13/06/2019 15:10:44 7.745950E-9 1.180784E-12
13/06/2019 15:11:17 7.745450E-9 9.991246E-13
13/06/2019 15:11:50 7.745200E-9 1.332166E-12
13/06/2019 15:12:22 7.743650E-9 1.604655E-12
13/06/2019 15:12:55 7.743250E-9 1.483549E-12
13/06/2019 15:13:28 7.741900E-9 1.089954E-12
13/06/2019 15:14:00 7.741800E-9 1.089954E-12
13/06/2019 15:14:33 7.742000E-9 7.871891E-13
13/06/2019 15:15:06 7.741600E-9 1.271613E-12
13/06/2019 15:15:38 7.739450E-9 1.362443E-12
13/06/2019 15:16:11 7.741300E-9 1.150507E-12
13/06/2019 15:16:44 7.739650E-9 1.180784E-12
13/06/2019 15:17:17 7.740450E-9 1.362443E-12
13/06/2019 15:17:49 7.739100E-9 1.877143E-12
13/06/2019 15:18:22 7.738850E-9 1.120231E-12
13/06/2019 15:18:55 7.739350E-9 9.385716E-13
13/06/2019 15:19:27 7.738900E-9 1.150507E-12
13/06/2019 15:20:00 7.738600E-9 1.029401E-12
13/06/2019 15:20:33 7.738350E-9 1.120231E-12
13/06/2019 15:21:05 7.739000E-9 3.088203E-12
13/06/2019 15:21:38 7.738400E-9 1.937696E-12
13/06/2019 15:22:11 7.740400E-9 1.513825E-12
13/06/2019 15:22:43 7.738100E-9 1.089954E-12
13/06/2019 15:23:16 7.736350E-9 1.483549E-12
13/06/2019 15:23:49 7.738050E-9 1.544102E-12
13/06/2019 15:24:22 7.738250E-9 9.385716E-13
13/06/2019 15:24:54 7.737700E-9 1.150507E-12
13/06/2019 15:25:27 7.737200E-9 9.688481E-13
13/06/2019 15:26:00 7.736700E-9 1.634931E-12
13/06/2019 15:26:32 7.736900E-9 6.660831E-13
13/06/2019 15:27:05 7.737350E-9 8.174656E-13
13/06/2019 15:27:38 7.736850E-9 1.180784E-12
13/06/2019 15:28:10 7.736750E-9 1.544102E-12
13/06/2019 15:28:43 7.736100E-9 1.634931E-12
13/06/2019 15:29:16 7.735800E-9 7.266361E-13
13/06/2019 15:29:49 7.735900E-9 1.211060E-12
13/06/2019 15:30:21 7.736950E-9 1.180784E-12
13/06/2019 15:30:54 7.735850E-9 1.180784E-12
13/06/2019 15:31:27 7.734750E-9 1.362443E-12
13/06/2019 15:31:59 7.735500E-9 7.266361E-13
13/06/2019 15:32:32 7.734800E-9 1.877143E-12
13/06/2019 15:33:05 7.735550E-9 6.358066E-13
13/06/2019 15:33:37 7.734500E-9 9.082951E-13
13/06/2019 15:34:10 7.733450E-9 1.786314E-12
