Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;15.51;5.0;120.0;255.0
30;15.66;25.0;120.0;255.0
60;16.1;25.0;120.0;255.0
90;17.23;25.0;120.0;255.0
120;18.96;25.0;120.0;255.0
150;21.12;25.0;120.0;255.0
180;22.34;25.0;120.0;255.0
210;23.3;25.0;120.0;255.0
240;23.65;25.0;120.0;255.0
270;23.87;25.0;120.0;255.0
300;24.17;25.0;120.0;255.0
330;24.5;25.0;120.0;255.0
360;25.25;25.0;120.0;255.0
390;25.71;25.0;120.0;255.0
420;25.84;25.0;120.0;255.0
450;25.76;25.0;120.0;255.0
480;25.62;25.0;120.0;255.0
510;25.55;25.0;120.0;255.0
540;25.38;25.0;120.0;255.0
570;25.28;25.0;120.0;255.0
600;25.18;25.0;120.0;255.0
630;25.1;25.0;120.0;255.0
660;25.05;25.0;120.0;255.0
690;24.99;25.0;120.0;255.0
720;24.96;25.0;120.0;255.0
750;24.95;25.0;120.0;255.0
780;24.96;25.0;120.0;255.0
810;24.96;25.0;120.0;255.0
840;25.0;25.0;120.0;255.0
870;25.03;25.0;120.0;255.0
900;25.03;25.0;120.0;255.0
930;25.03;25.0;120.0;255.0
960;25.03;25.0;120.0;255.0
990;25.03;25.0;120.0;255.0
1020;25.03;25.0;120.0;255.0
1050;25.01;25.0;120.0;255.0
1080;25.01;25.0;120.0;255.0
1110;25.0;25.0;120.0;255.0
1140;24.99;25.0;120.0;255.0
1170;24.96;25.0;120.0;255.0
1200;24.94;25.0;120.0;255.0
1230;24.98;25.0;120.0;255.0
1260;25.01;25.0;120.0;255.0
1290;25.03;25.0;120.0;255.0
1320;25.03;25.0;120.0;255.0
1350;25.03;25.0;120.0;255.0
1380;25.03;25.0;120.0;255.0
1410;25.01;25.0;120.0;255.0
1440;24.96;25.0;120.0;255.0
1470;24.98;25.0;120.0;255.0
1500;24.99;25.0;120.0;255.0
1530;24.98;25.0;120.0;255.0
1560;24.98;25.0;120.0;255.0
1590;24.96;25.0;120.0;255.0
1620;24.96;25.0;120.0;255.0
1650;25.0;25.0;120.0;255.0
1680;25.03;25.0;120.0;255.0
1710;25.03;25.0;120.0;255.0
1740;25.03;25.0;120.0;255.0
1770;25.03;25.0;120.0;255.0
1800;25.03;25.0;120.0;255.0
1830;25.03;25.0;120.0;255.0
1860;25.0;25.0;120.0;255.0
1890;24.99;25.0;120.0;255.0
1920;25.0;25.0;120.0;255.0
1950;25.0;25.0;120.0;255.0
1980;25.0;25.0;120.0;255.0
2010;24.99;25.0;120.0;255.0
2040;24.98;25.0;120.0;255.0
2070;24.99;25.0;120.0;255.0
2100;24.98;25.0;120.0;255.0
2130;24.99;25.0;120.0;255.0
2160;25.0;25.0;120.0;255.0
2190;25.01;25.0;120.0;255.0
2220;25.03;25.0;120.0;255.0
2250;25.03;25.0;120.0;255.0
2280;25.03;25.0;120.0;255.0
2310;25.01;25.0;120.0;255.0
2340;25.0;25.0;120.0;255.0
2370;25.0;25.0;120.0;255.0
2400;25.0;25.0;120.0;255.0
2430;24.98;25.0;120.0;255.0
2460;24.99;25.0;120.0;255.0
2490;24.99;25.0;120.0;255.0
2520;25.01;25.0;120.0;255.0
2550;25.01;25.0;120.0;255.0
2580;25.01;25.0;120.0;255.0
2610;25.0;25.0;120.0;255.0
2640;25.0;25.0;120.0;255.0
2670;25.01;25.0;120.0;255.0
2700;25.0;25.0;120.0;255.0
2730;25.01;25.0;120.0;255.0
2760;24.99;25.0;120.0;255.0
2790;24.99;25.0;120.0;255.0
2820;24.99;25.0;120.0;255.0
2850;25.0;25.0;120.0;255.0
2880;25.0;25.0;120.0;255.0
2910;25.0;25.0;120.0;255.0
2940;25.01;25.0;120.0;255.0
2970;25.01;25.0;120.0;255.0
3000;25.0;25.0;120.0;255.0
3030;24.99;25.0;120.0;255.0
3060;24.99;25.0;120.0;255.0
3090;25.01;25.0;120.0;255.0
