Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;22.31;5.0;120.0;255.0
30;22.38;25.0;120.0;255.0
60;22.45;25.0;120.0;255.0
90;23.1;25.0;120.0;255.0
120;23.83;25.0;120.0;255.0
150;24.37;25.0;120.0;255.0
180;25.07;25.0;120.0;255.0
210;25.51;25.0;120.0;255.0
240;25.85;25.0;120.0;255.0
270;25.81;25.0;120.0;255.0
300;25.7;25.0;120.0;255.0
330;25.55;25.0;120.0;255.0
360;25.38;25.0;120.0;255.0
390;25.27;25.0;120.0;255.0
420;25.11;25.0;120.0;255.0
450;25.09;25.0;120.0;255.0
480;25.05;25.0;120.0;255.0
510;25.03;25.0;120.0;255.0
540;25.05;25.0;120.0;255.0
570;25.01;25.0;120.0;255.0
600;25.0;25.0;120.0;255.0
630;25.0;25.0;120.0;255.0
660;24.98;25.0;120.0;255.0
690;24.96;25.0;120.0;255.0
720;24.98;25.0;120.0;255.0
750;24.98;25.0;120.0;255.0
780;24.96;25.0;120.0;255.0
810;24.96;25.0;120.0;255.0
840;24.95;25.0;120.0;255.0
870;25.0;25.0;120.0;255.0
900;25.03;25.0;120.0;255.0
930;25.03;25.0;120.0;255.0
960;25.01;25.0;120.0;255.0
990;25.0;25.0;120.0;255.0
1020;25.01;25.0;120.0;255.0
1050;25.01;25.0;120.0;255.0
1080;25.0;25.0;120.0;255.0
1110;24.99;25.0;120.0;255.0
1140;24.99;25.0;120.0;255.0
1170;25.0;25.0;120.0;255.0
1200;25.0;25.0;120.0;255.0
1230;25.0;25.0;120.0;255.0
1260;25.01;25.0;120.0;255.0
1290;25.0;25.0;120.0;255.0
1320;25.0;25.0;120.0;255.0
1350;25.0;25.0;120.0;255.0
1380;25.01;25.0;120.0;255.0
1410;25.01;25.0;120.0;255.0
1440;25.01;25.0;120.0;255.0
1470;24.99;25.0;120.0;255.0
1500;24.99;25.0;120.0;255.0
1530;24.99;25.0;120.0;255.0
1560;25.01;25.0;120.0;255.0
1590;25.03;25.0;120.0;255.0
1620;25.01;25.0;120.0;255.0
1650;25.0;25.0;120.0;255.0
1680;24.99;25.0;120.0;255.0
1710;25.01;25.0;120.0;255.0
1740;25.03;25.0;120.0;255.0
1770;25.01;25.0;120.0;255.0
1800;25.03;25.0;120.0;255.0
1830;25.0;25.0;120.0;255.0
1860;25.0;25.0;120.0;255.0
1890;25.01;25.0;120.0;255.0
1920;25.01;25.0;120.0;255.0
1950;25.01;25.0;120.0;255.0
1980;25.0;25.0;120.0;255.0
2010;25.0;25.0;120.0;255.0
2040;25.01;25.0;120.0;255.0
2070;25.0;25.0;120.0;255.0
2100;25.01;25.0;120.0;255.0
2130;25.01;25.0;120.0;255.0
2160;25.01;25.0;120.0;255.0
2190;25.03;25.0;120.0;255.0
2220;25.03;25.0;120.0;255.0
2250;24.98;25.0;120.0;255.0
2280;24.98;25.0;120.0;255.0
2310;24.99;25.0;120.0;255.0
2340;25.01;25.0;120.0;255.0
2370;25.01;25.0;120.0;255.0
2400;24.99;25.0;120.0;255.0
2430;24.99;25.0;120.0;255.0
2460;24.99;25.0;120.0;255.0
2490;24.99;25.0;120.0;255.0
2520;24.99;25.0;120.0;255.0
2550;25.0;25.0;120.0;255.0
2580;25.0;25.0;120.0;255.0
2610;24.99;25.0;120.0;255.0
2640;24.99;25.0;120.0;255.0
2670;25.0;25.0;120.0;255.0
2700;25.01;25.0;120.0;255.0
2730;25.03;25.0;120.0;255.0
2760;25.0;25.0;120.0;255.0
2790;24.99;25.0;120.0;255.0
2820;25.0;25.0;120.0;255.0
2850;24.98;25.0;120.0;255.0
2880;24.99;25.0;120.0;255.0
2910;25.01;25.0;120.0;255.0
2940;25.0;25.0;120.0;255.0
2970;25.0;25.0;120.0;255.0
3000;25.0;25.0;120.0;255.0
3030;25.0;25.0;120.0;255.0
3060;25.0;25.0;120.0;255.0
3090;25.0;25.0;120.0;255.0
3120;25.0;25.0;120.0;255.0
3150;25.0;25.0;120.0;255.0
3180;24.99;25.0;120.0;255.0
3210;24.99;25.0;120.0;255.0
3240;24.99;25.0;120.0;255.0
3270;24.99;25.0;120.0;255.0
3300;25.0;25.0;120.0;255.0
3330;25.01;25.0;120.0;255.0
3360;25.0;25.0;120.0;255.0
3390;25.0;25.0;120.0;255.0
3420;25.0;25.0;120.0;255.0
3450;24.99;25.0;120.0;255.0
3480;24.98;25.0;120.0;255.0
3510;25.0;25.0;120.0;255.0
