Time Current Current STD
25/06/2019 18:34:09 -4.247631E-13 2.974877E-13
25/06/2019 18:34:42 -2.370015E-14 2.953318E-13
25/06/2019 18:35:14 1.543016E-13 1.604460E-13
25/06/2019 18:35:46 9.365934E-13 2.974876E-13
25/06/2019 18:36:19 1.337248E-12 1.844669E-13
25/06/2019 18:36:51 1.454424E-12 1.992485E-13
25/06/2019 18:37:23 4.031985E-13 2.746983E-13
25/06/2019 18:37:56 6.438470E-14 4.628609E-13
25/06/2019 18:38:28 -3.203017E-13 3.033390E-13
25/06/2019 18:39:00 -2.298815E-14 3.042627E-13
25/06/2019 18:39:33 -1.515585E-14 1.980170E-13
25/06/2019 18:40:05 -3.549915E-14 2.528336E-13
25/06/2019 18:40:37 -4.260855E-13 8.022307E-13
25/06/2019 18:41:10 1.119877E-13 3.218162E-13
25/06/2019 18:41:42 -1.829863E-13 2.922525E-13
25/06/2019 18:42:14 -2.039393E-13 3.390620E-13
25/06/2019 18:42:47 -2.020069E-13 3.301312E-13
25/06/2019 18:43:19 -9.225640E-14 3.698578E-13
25/06/2019 18:43:51 8.727135E-14 3.184286E-13
25/06/2019 18:44:24 -4.882375E-14 2.229618E-13
25/06/2019 18:44:56 -1.200315E-14 3.523042E-13
25/06/2019 18:45:28 5.523065E-14 2.916364E-13
25/06/2019 18:46:01 -6.926850E-14 3.729374E-13
25/06/2019 18:46:33 -4.190715E-14 3.917228E-13
25/06/2019 18:47:05 -4.648440E-14 2.799341E-13
25/06/2019 18:47:38 -3.809237E-13 3.347506E-13
25/06/2019 18:48:10 6.306300E-14 3.091900E-13
25/06/2019 18:48:42 3.976985E-14 4.918090E-13
25/06/2019 18:49:15 -1.179940E-14 2.814738E-13
25/06/2019 18:49:47 -1.465725E-13 3.994222E-13
25/06/2019 18:50:19 -1.453516E-13 3.489167E-13
25/06/2019 18:50:52 -1.903101E-13 3.864878E-13
25/06/2019 18:51:24 7.140350E-14 3.566156E-13
25/06/2019 18:51:56 -7.934300E-15 3.252040E-13
25/06/2019 18:52:29 -1.840035E-13 3.205848E-13
25/06/2019 18:53:01 -8.889980E-14 3.806366E-13
25/06/2019 18:53:33 1.108650E-14 3.772489E-13
25/06/2019 18:54:05 -2.461516E-13 4.379169E-13
25/06/2019 18:54:38 1.706776E-13 3.683183E-13
25/06/2019 18:55:10 -4.719650E-14 3.116540E-13
25/06/2019 18:55:42 -1.688545E-14 3.824847E-13
25/06/2019 18:56:15 -1.933617E-13 4.930416E-13
25/06/2019 18:56:47 1.661002E-13 4.000380E-13
25/06/2019 18:57:19 -2.113653E-13 4.132805E-13
