Time Current Current STD
25/06/2019 10:40:56 1.997708E-10 2.549342E-12
25/06/2019 10:41:28 1.926867E-10 1.303086E-11
25/06/2019 10:42:01 2.117291E-10 4.810058E-12
25/06/2019 10:42:33 2.250033E-10 4.566151E-12
25/06/2019 10:43:05 2.202103E-10 5.283401E-12
25/06/2019 10:43:38 2.009033E-10 7.838890E-12
25/06/2019 10:44:10 2.239093E-10 2.917353E-12
25/06/2019 10:44:42 2.308168E-10 3.150724E-12
25/06/2019 10:45:15 1.915714E-10 4.937553E-12
25/06/2019 10:45:47 2.018342E-10 5.885752E-12
25/06/2019 10:46:20 2.179424E-10 9.597652E-12
25/06/2019 10:46:52 2.174138E-10 4.962501E-12
25/06/2019 10:47:24 2.395225E-10 1.935886E-11
25/06/2019 10:47:57 2.707831E-11 1.989136E-12
25/06/2019 10:48:29 -1.357239E-11 8.432339E-12
25/06/2019 10:49:01 2.426420E-11 1.999878E-11
25/06/2019 10:49:34 7.338020E-11 3.627192E-12
25/06/2019 10:50:06 8.547297E-11 3.855383E-12
25/06/2019 10:50:38 2.499218E-11 1.829667E-11
25/06/2019 10:51:11 1.231564E-11 3.683227E-12
25/06/2019 10:51:43 4.574605E-12 2.633079E-12
25/06/2019 10:52:15 5.761676E-11 5.012387E-12
25/06/2019 10:52:48 -2.909721E-11 4.123315E-12
25/06/2019 10:53:20 3.073794E-11 1.795297E-11
25/06/2019 10:53:52 4.105552E-11 3.193476E-11
25/06/2019 10:54:25 3.831335E-11 8.505291E-12
25/06/2019 10:54:57 -1.634484E-10 4.110974E-12
25/06/2019 10:55:29 -9.716293E-11 4.916947E-12
25/06/2019 10:56:02 -4.583665E-11 9.946588E-12
25/06/2019 10:56:34 -4.713037E-11 3.623813E-12
25/06/2019 10:57:06 8.782017E-11 8.436021E-12
25/06/2019 10:57:39 5.474721E-11 2.407342E-12
25/06/2019 10:58:11 6.194838E-12 4.203373E-12
25/06/2019 10:58:43 3.662771E-11 1.077805E-11
25/06/2019 10:59:16 7.909414E-11 7.168114E-12
25/06/2019 10:59:48 1.355383E-11 1.799417E-12
25/06/2019 11:00:20 -1.230263E-11 4.109452E-12
25/06/2019 11:00:53 3.498541E-11 1.133295E-12
25/06/2019 11:01:25 -1.088878E-11 2.645400E-12
25/06/2019 11:01:57 -3.323900E-12 1.232467E-12
25/06/2019 11:02:30 4.686974E-11 3.455339E-12
25/06/2019 11:03:02 3.238625E-11 8.798564E-13
25/06/2019 11:03:34 1.109214E-12 3.411914E-12
25/06/2019 11:04:07 -1.401920E-11 1.961109E-12
