Time Current Current STD
26/06/2019 14:44:26 1.354967E-8 1.202704E-10
26/06/2019 14:46:29 1.352531E-8 1.191653E-10
26/06/2019 14:48:31 1.353632E-8 1.197345E-10
26/06/2019 14:50:34 1.354316E-8 1.198102E-10
26/06/2019 14:52:36 1.353879E-8 1.198465E-10
26/06/2019 14:54:39 1.353633E-8 1.200918E-10
26/06/2019 14:56:42 1.353540E-8 1.196437E-10
26/06/2019 14:58:44 1.353616E-8 1.189049E-10
26/06/2019 15:00:47 1.353551E-8 1.194741E-10
26/06/2019 15:02:50 1.353932E-8 1.188958E-10
26/06/2019 15:04:52 1.354309E-8 1.202643E-10
26/06/2019 15:06:55 1.354702E-8 1.196467E-10
26/06/2019 15:08:57 1.354962E-8 1.192743E-10
26/06/2019 15:11:00 1.355459E-8 1.192107E-10
26/06/2019 15:13:03 1.355862E-8 1.185113E-10
26/06/2019 15:15:05 1.356139E-8 1.184871E-10
26/06/2019 15:17:08 1.356443E-8 1.195195E-10
26/06/2019 15:19:10 1.357070E-8 1.191502E-10
26/06/2019 15:21:13 1.357458E-8 1.195498E-10
26/06/2019 15:23:16 1.358093E-8 1.190896E-10
26/06/2019 15:25:18 1.358490E-8 1.189745E-10
26/06/2019 15:27:21 1.359289E-8 1.193591E-10
26/06/2019 15:29:23 1.359972E-8 1.199949E-10
26/06/2019 15:31:26 1.360825E-8 1.201008E-10
26/06/2019 15:33:29 1.361388E-8 1.201462E-10
26/06/2019 15:35:31 1.362373E-8 1.189473E-10
26/06/2019 15:37:34 1.362333E-8 1.202219E-10
26/06/2019 15:39:37 1.363702E-8 1.199888E-10
26/06/2019 15:41:39 1.364537E-8 1.192561E-10
26/06/2019 15:43:42 1.365201E-8 1.189927E-10
