Time Current Current STD
26/06/2019 16:36:06 1.365218E-8 1.196527E-10
26/06/2019 16:36:38 1.362188E-8 1.207397E-10
26/06/2019 16:37:11 1.360629E-8 1.202492E-10
26/06/2019 16:37:43 1.360067E-8 1.204944E-10
26/06/2019 16:38:16 1.359791E-8 1.205731E-10
26/06/2019 16:38:49 1.359659E-8 1.204187E-10
26/06/2019 16:39:21 1.359411E-8 1.202068E-10
26/06/2019 16:39:54 1.359179E-8 1.204097E-10
26/06/2019 16:40:27 1.358998E-8 1.198556E-10
26/06/2019 16:40:59 1.358616E-8 1.207215E-10
26/06/2019 16:41:32 1.358481E-8 1.205277E-10
26/06/2019 16:42:04 1.358275E-8 1.202552E-10
26/06/2019 16:42:37 1.358229E-8 1.197557E-10
26/06/2019 16:43:10 1.357883E-8 1.207518E-10
26/06/2019 16:43:42 1.357797E-8 1.204520E-10
26/06/2019 16:44:15 1.357728E-8 1.198344E-10
26/06/2019 16:44:47 1.357518E-8 1.209425E-10
26/06/2019 16:45:20 1.357475E-8 1.202068E-10
26/06/2019 16:45:53 1.357453E-8 1.202825E-10
26/06/2019 16:46:25 1.357431E-8 1.198223E-10
26/06/2019 16:46:58 1.357224E-8 1.206004E-10
26/06/2019 16:47:30 1.357435E-8 1.199706E-10
26/06/2019 16:48:03 1.357864E-8 1.198738E-10
26/06/2019 16:48:36 1.358153E-8 1.199706E-10
26/06/2019 16:49:08 1.358126E-8 1.201705E-10
26/06/2019 16:49:41 1.358040E-8 1.202068E-10
26/06/2019 16:50:14 1.357802E-8 1.203975E-10
26/06/2019 16:50:46 1.357491E-8 1.207336E-10
26/06/2019 16:51:19 1.357561E-8 1.200554E-10
26/06/2019 16:51:51 1.357536E-8 1.196770E-10
26/06/2019 16:52:24 1.357468E-8 1.202492E-10
26/06/2019 16:52:57 1.357492E-8 1.200645E-10
26/06/2019 16:53:29 1.357518E-8 1.199888E-10
26/06/2019 16:54:02 1.357492E-8 1.202613E-10
