Time Current Current STD
27/06/2019 19:17:13 5.036323E-9 4.434418E-11
27/06/2019 19:17:45 5.021029E-9 4.415404E-11
27/06/2019 19:18:18 5.010370E-9 4.455702E-11
27/06/2019 19:18:50 5.002555E-9 4.369414E-11
27/06/2019 19:19:23 4.994471E-9 4.424760E-11
27/06/2019 19:19:56 4.989900E-9 4.451948E-11
27/06/2019 19:20:28 4.984653E-9 4.367870E-11
27/06/2019 19:21:01 4.978121E-9 4.408592E-11
27/06/2019 19:21:34 4.973983E-9 4.404262E-11
27/06/2019 19:22:06 4.970854E-9 4.336231E-11
27/06/2019 19:22:39 4.966339E-9 4.395876E-11
27/06/2019 19:23:11 4.962356E-9 4.407472E-11
27/06/2019 19:23:44 4.960038E-9 4.356577E-11
27/06/2019 19:24:17 4.956954E-9 4.351702E-11
27/06/2019 19:24:49 4.953669E-9 4.406018E-11
27/06/2019 19:25:22 4.952860E-9 4.348554E-11
27/06/2019 19:25:54 4.952013E-9 4.350764E-11
27/06/2019 19:26:27 4.948270E-9 4.322183E-11
27/06/2019 19:27:00 4.946310E-9 4.359362E-11
27/06/2019 19:27:32 4.944792E-9 4.329268E-11
27/06/2019 19:28:05 4.942056E-9 4.386520E-11
27/06/2019 19:28:37 4.940826E-9 4.377740E-11
27/06/2019 19:29:10 4.939365E-9 4.392757E-11
27/06/2019 19:29:43 4.939104E-9 4.339350E-11
27/06/2019 19:30:15 4.937014E-9 4.409440E-11
27/06/2019 19:30:48 4.936890E-9 4.305077E-11
27/06/2019 19:31:20 4.942111E-9 4.289424E-11
27/06/2019 19:31:53 4.937433E-9 4.430754E-11
27/06/2019 19:32:26 4.937134E-9 4.310072E-11
27/06/2019 19:32:58 4.935363E-9 4.329449E-11
27/06/2019 19:33:31 4.932614E-9 4.393726E-11
27/06/2019 19:34:04 4.932945E-9 4.327875E-11
27/06/2019 19:34:36 4.930308E-9 4.407230E-11
27/06/2019 19:35:09 4.931195E-9 4.334748E-11
27/06/2019 19:35:41 4.929156E-9 4.381979E-11
27/06/2019 19:36:14 4.928189E-9 4.418038E-11
27/06/2019 19:36:47 4.927800E-9 4.422761E-11
27/06/2019 19:37:19 4.928592E-9 4.310859E-11
27/06/2019 19:37:52 4.928436E-9 4.351975E-11
27/06/2019 19:38:24 4.928730E-9 4.337927E-11
27/06/2019 19:38:57 4.928547E-9 4.322243E-11
27/06/2019 19:39:30 4.927981E-9 4.313372E-11
27/06/2019 19:40:02 4.926319E-9 4.397026E-11
27/06/2019 19:40:35 4.927620E-9 4.290937E-11
27/06/2019 19:41:07 4.925587E-9 4.406109E-11
27/06/2019 19:41:40 4.925143E-9 4.392636E-11
27/06/2019 19:42:13 4.924425E-9 4.396360E-11
27/06/2019 19:42:45 4.924458E-9 4.418280E-11
27/06/2019 19:43:18 4.925988E-9 4.311859E-11
27/06/2019 19:43:51 4.923867E-9 4.415525E-11
27/06/2019 19:44:23 4.923727E-9 4.363238E-11
27/06/2019 19:44:56 4.924328E-9 4.314614E-11
27/06/2019 19:45:28 4.923967E-9 4.335959E-11
27/06/2019 19:46:01 4.922436E-9 4.401598E-11
27/06/2019 19:46:34 4.922115E-9 4.395210E-11
27/06/2019 19:47:06 4.922756E-9 4.334596E-11
27/06/2019 19:47:39 4.922594E-9 4.332144E-11
27/06/2019 19:48:11 4.922955E-9 4.303169E-11
27/06/2019 19:48:44 4.922457E-9 4.303956E-11
27/06/2019 19:49:17 4.921285E-9 4.372805E-11
27/06/2019 19:49:49 4.922099E-9 4.326361E-11
27/06/2019 19:50:22 4.920986E-9 4.436900E-11
27/06/2019 19:50:54 4.921248E-9 4.326694E-11
27/06/2019 19:51:27 4.920748E-9 4.388609E-11
27/06/2019 19:52:00 4.921404E-9 4.314160E-11
27/06/2019 19:52:32 4.919650E-9 4.402052E-11
27/06/2019 19:53:05 4.921039E-9 4.314190E-11
27/06/2019 19:53:37 4.919560E-9 4.356789E-11
27/06/2019 19:54:10 4.919802E-9 4.379436E-11
27/06/2019 19:54:43 4.919300E-9 4.365842E-11
27/06/2019 19:55:15 4.918567E-9 4.376711E-11
27/06/2019 19:55:48 4.920589E-9 4.284428E-11
27/06/2019 19:56:21 4.919360E-9 4.309315E-11
27/06/2019 19:56:53 4.918524E-9 4.413648E-11
27/06/2019 19:57:26 4.920241E-9 4.324242E-11
27/06/2019 19:57:58 4.918825E-9 4.404838E-11
27/06/2019 19:58:31 4.920035E-9 4.334869E-11
27/06/2019 19:59:04 4.918864E-9 4.379860E-11
27/06/2019 19:59:36 4.919742E-9 4.326997E-11
27/06/2019 20:00:09 4.920049E-9 4.308407E-11
27/06/2019 20:00:41 4.919063E-9 4.337836E-11
27/06/2019 20:01:14 4.918923E-9 4.347615E-11
27/06/2019 20:01:47 4.918714E-9 4.370292E-11
27/06/2019 20:02:19 4.919656E-9 4.281310E-11
27/06/2019 20:02:52 4.916122E-9 4.358363E-11
27/06/2019 20:03:24 4.917351E-9 4.375984E-11
27/06/2019 20:03:57 4.918285E-9 4.300686E-11
27/06/2019 20:04:30 4.919350E-9 4.373501E-11
27/06/2019 20:05:02 4.917927E-9 4.383251E-11
27/06/2019 20:05:35 4.918617E-9 4.352580E-11
27/06/2019 20:06:08 4.918096E-9 4.333506E-11
27/06/2019 20:06:40 4.917525E-9 4.367355E-11
27/06/2019 20:07:13 4.917629E-9 4.342256E-11
27/06/2019 20:07:45 4.916921E-9 4.394029E-11
27/06/2019 20:08:18 4.919119E-9 4.312676E-11
27/06/2019 20:08:51 4.916476E-9 4.374168E-11
27/06/2019 20:09:23 4.917027E-9 4.406624E-11
27/06/2019 20:09:56 4.918986E-9 4.320397E-11
27/06/2019 20:10:28 4.917494E-9 4.381313E-11
27/06/2019 20:11:01 4.917240E-9 4.325846E-11
27/06/2019 20:11:34 4.916840E-9 4.383553E-11
27/06/2019 20:12:06 4.917494E-9 4.341166E-11
27/06/2019 20:12:39 4.917420E-9 4.396602E-11
27/06/2019 20:13:11 4.916661E-9 4.379042E-11
27/06/2019 20:13:44 4.917322E-9 4.331387E-11
27/06/2019 20:14:17 4.917626E-9 4.307045E-11
27/06/2019 20:14:49 4.916568E-9 4.380041E-11
27/06/2019 20:15:22 4.917528E-9 4.304834E-11
27/06/2019 20:15:55 4.916932E-9 4.303502E-11
27/06/2019 20:16:27 4.919611E-9 4.282581E-11
27/06/2019 20:17:00 4.918816E-9 4.432965E-11
27/06/2019 20:17:32 4.918592E-9 4.297144E-11
