Time Current Current STD
27/06/2019 20:20:05 4.915285E-9 4.404959E-11
27/06/2019 20:20:37 4.923864E-9 4.335141E-11
27/06/2019 20:21:10 4.921858E-9 4.310254E-11
27/06/2019 20:21:43 4.915036E-9 4.387822E-11
27/06/2019 20:22:15 4.915191E-9 4.369929E-11
27/06/2019 20:22:48 4.915611E-9 4.377286E-11
27/06/2019 20:23:20 4.916310E-9 4.360361E-11
27/06/2019 20:23:53 4.917219E-9 4.351975E-11
27/06/2019 20:24:26 4.917508E-9 4.371927E-11
27/06/2019 20:24:58 4.919250E-9 4.315673E-11
27/06/2019 20:25:31 4.918775E-9 4.344557E-11
27/06/2019 20:26:03 4.919141E-9 4.332023E-11
27/06/2019 20:26:36 4.919180E-9 4.357364E-11
27/06/2019 20:27:09 4.919398E-9 4.314220E-11
27/06/2019 20:27:41 4.917959E-9 4.367174E-11
27/06/2019 20:28:14 4.919502E-9 4.326633E-11
27/06/2019 20:28:46 4.918028E-9 4.404535E-11
27/06/2019 20:29:19 4.918844E-9 4.367386E-11
27/06/2019 20:29:52 4.920412E-9 4.304168E-11
27/06/2019 20:30:24 4.920405E-9 4.344406E-11
27/06/2019 20:30:57 4.921310E-9 4.337351E-11
27/06/2019 20:31:30 4.920311E-9 4.420339E-11
27/06/2019 20:32:02 4.920789E-9 4.344557E-11
27/06/2019 20:32:35 4.921809E-9 4.278464E-11
27/06/2019 20:33:07 4.924633E-9 4.339652E-11
27/06/2019 20:33:40 4.930544E-9 4.305712E-11
27/06/2019 20:34:13 4.938384E-9 4.366720E-11
27/06/2019 20:34:45 4.952227E-9 4.325695E-11
27/06/2019 20:35:18 4.971969E-9 4.301504E-11
27/06/2019 20:35:50 4.993206E-9 4.326573E-11
27/06/2019 20:36:23 4.999849E-9 4.424669E-11
27/06/2019 20:36:56 4.992930E-9 4.340258E-11
27/06/2019 20:37:28 4.972978E-9 4.374682E-11
27/06/2019 20:38:01 4.946090E-9 4.300686E-11
27/06/2019 20:38:33 4.942251E-9 4.286275E-11
27/06/2019 20:39:06 4.947667E-9 4.312797E-11
27/06/2019 20:39:39 4.957068E-9 4.366144E-11
27/06/2019 20:40:11 4.969962E-9 4.382706E-11
27/06/2019 20:40:44 4.973349E-9 4.326876E-11
27/06/2019 20:41:17 4.968135E-9 4.367053E-11
27/06/2019 20:41:49 4.959962E-9 4.304774E-11
27/06/2019 20:42:22 4.942615E-9 4.373744E-11
27/06/2019 20:42:54 4.931093E-9 4.319337E-11
27/06/2019 20:43:27 4.934563E-9 4.364630E-11
27/06/2019 20:44:00 4.936031E-9 4.374803E-11
27/06/2019 20:44:32 4.942189E-9 4.297719E-11
27/06/2019 20:45:05 4.948757E-9 4.404777E-11
27/06/2019 20:45:37 4.955052E-9 4.394301E-11
27/06/2019 20:46:10 4.954602E-9 4.351067E-11
27/06/2019 20:46:43 4.948219E-9 4.339228E-11
27/06/2019 20:47:15 4.936807E-9 4.316945E-11
27/06/2019 20:47:48 4.924976E-9 4.383826E-11
27/06/2019 20:48:20 4.923292E-9 4.349856E-11
27/06/2019 20:48:53 4.924356E-9 4.328420E-11
27/06/2019 20:49:26 4.927411E-9 4.330418E-11
27/06/2019 20:49:58 4.932837E-9 4.313887E-11
27/06/2019 20:50:31 4.939654E-9 4.314886E-11
27/06/2019 20:51:04 4.941857E-9 4.400932E-11
27/06/2019 20:51:36 4.939472E-9 4.370746E-11
27/06/2019 20:52:09 4.931613E-9 4.277828E-11
27/06/2019 20:52:41 4.920742E-9 4.291997E-11
27/06/2019 20:53:14 4.918211E-9 4.290877E-11
27/06/2019 20:53:47 4.917362E-9 4.329207E-11
27/06/2019 20:54:19 4.916889E-9 4.426970E-11
27/06/2019 20:54:52 4.917058E-9 4.374924E-11
27/06/2019 20:55:24 4.915491E-9 4.386157E-11
27/06/2019 20:55:57 4.918091E-9 4.407896E-11
27/06/2019 20:56:30 4.918300E-9 4.321941E-11
27/06/2019 20:57:02 4.915127E-9 4.404111E-11
27/06/2019 20:57:35 4.913959E-9 4.388004E-11
27/06/2019 20:58:07 4.911637E-9 4.396360E-11
27/06/2019 20:58:40 4.912379E-9 4.364085E-11
27/06/2019 20:59:13 4.913273E-9 4.376317E-11
27/06/2019 20:59:45 4.914869E-9 4.372109E-11
27/06/2019 21:00:18 4.917937E-9 4.319246E-11
27/06/2019 21:00:50 4.917550E-9 4.379012E-11
27/06/2019 21:01:23 4.918619E-9 4.395573E-11
27/06/2019 21:01:56 4.918953E-9 4.360240E-11
27/06/2019 21:02:28 4.918568E-9 4.342256E-11
27/06/2019 21:03:01 4.921860E-9 4.296145E-11
27/06/2019 21:03:34 4.919024E-9 4.354972E-11
27/06/2019 21:04:06 4.919777E-9 4.389427E-11
27/06/2019 21:04:39 4.917273E-9 4.376862E-11
27/06/2019 21:05:11 4.915177E-9 4.371806E-11
27/06/2019 21:05:44 4.916196E-9 4.371715E-11
27/06/2019 21:06:17 4.917078E-9 4.387338E-11
27/06/2019 21:06:49 4.920176E-9 4.302321E-11
27/06/2019 21:07:22 4.920129E-9 4.304562E-11
27/06/2019 21:07:54 4.920136E-9 4.308377E-11
27/06/2019 21:08:27 4.919634E-9 4.272620E-11
27/06/2019 21:09:00 4.919024E-9 4.288969E-11
27/06/2019 21:09:32 4.918126E-9 4.293511E-11
27/06/2019 21:10:05 4.916884E-9 4.322637E-11
27/06/2019 21:10:37 4.914927E-9 4.319397E-11
27/06/2019 21:11:10 4.914192E-9 4.378315E-11
27/06/2019 21:11:43 4.915130E-9 4.340530E-11
27/06/2019 21:12:15 4.916759E-9 4.322940E-11
27/06/2019 21:12:48 4.916845E-9 4.350945E-11
27/06/2019 21:13:21 4.918147E-9 4.305682E-11
27/06/2019 21:13:53 4.916862E-9 4.366750E-11
27/06/2019 21:14:26 4.916290E-9 4.371897E-11
27/06/2019 21:14:58 4.916291E-9 4.344830E-11
27/06/2019 21:15:31 4.915981E-9 4.347827E-11
27/06/2019 21:16:04 4.915053E-9 4.357394E-11
27/06/2019 21:16:36 4.914831E-9 4.309467E-11
27/06/2019 21:17:09 4.913895E-9 4.279917E-11
27/06/2019 21:17:41 4.914117E-9 4.292149E-11
27/06/2019 21:18:14 4.914576E-9 4.320669E-11
27/06/2019 21:18:47 4.914451E-9 4.390820E-11
27/06/2019 21:19:19 4.915839E-9 4.374561E-11
27/06/2019 21:19:52 4.916459E-9 4.390093E-11
27/06/2019 21:20:24 4.916302E-9 4.375803E-11
27/06/2019 21:20:57 4.915535E-9 4.408229E-11
27/06/2019 21:21:30 4.915700E-9 4.379769E-11
27/06/2019 21:22:02 4.916162E-9 4.349008E-11
27/06/2019 21:22:35 4.916585E-9 4.295509E-11
27/06/2019 21:23:08 4.916597E-9 4.291331E-11
27/06/2019 21:23:40 4.915788E-9 4.286699E-11
27/06/2019 21:24:13 4.912735E-9 4.504902E-11
27/06/2019 21:24:45 4.912846E-9 4.360543E-11
27/06/2019 21:25:18 4.913862E-9 4.375742E-11
27/06/2019 21:25:51 4.915143E-9 4.334960E-11
27/06/2019 21:26:23 4.916479E-9 4.291755E-11
27/06/2019 21:26:56 4.917229E-9 4.292784E-11
27/06/2019 21:27:28 4.916116E-9 4.344587E-11
27/06/2019 21:28:01 4.915734E-9 4.337109E-11
27/06/2019 21:28:34 4.915462E-9 4.370020E-11
27/06/2019 21:29:06 4.915591E-9 4.346646E-11
27/06/2019 21:29:39 4.914521E-9 4.402930E-11
27/06/2019 21:30:11 4.915447E-9 4.319518E-11
27/06/2019 21:30:44 4.912776E-9 4.382494E-11
27/06/2019 21:31:17 4.912969E-9 4.311071E-11
27/06/2019 21:31:49 4.913007E-9 4.339773E-11
27/06/2019 21:32:22 4.912981E-9 4.382342E-11
27/06/2019 21:32:55 4.913267E-9 4.388670E-11
27/06/2019 21:33:27 4.914166E-9 4.392303E-11
27/06/2019 21:34:00 4.914831E-9 4.320790E-11
27/06/2019 21:34:32 4.913651E-9 4.398268E-11
27/06/2019 21:35:05 4.913970E-9 4.377680E-11
27/06/2019 21:35:38 4.913856E-9 4.391183E-11
27/06/2019 21:36:10 4.915026E-9 4.309497E-11
27/06/2019 21:36:43 4.913275E-9 4.377074E-11
27/06/2019 21:37:15 4.913111E-9 4.343831E-11
27/06/2019 21:37:48 4.911667E-9 4.351400E-11
27/06/2019 21:38:21 4.911243E-9 4.404807E-11
27/06/2019 21:38:53 4.913783E-9 4.326119E-11
27/06/2019 21:39:26 4.914536E-9 4.303442E-11
27/06/2019 21:39:58 4.913508E-9 4.402718E-11
27/06/2019 21:40:31 4.914358E-9 4.388276E-11
27/06/2019 21:41:04 4.914596E-9 4.355941E-11
27/06/2019 21:41:36 4.914331E-9 4.378255E-11
27/06/2019 21:42:09 4.915139E-9 4.285639E-11
27/06/2019 21:42:41 4.913485E-9 4.403294E-11
27/06/2019 21:43:14 4.913231E-9 4.356244E-11
27/06/2019 21:43:47 4.912290E-9 4.315976E-11
27/06/2019 21:44:19 4.911892E-9 4.383069E-11
27/06/2019 21:44:52 4.912560E-9 4.351097E-11
27/06/2019 21:45:25 4.914278E-9 4.278100E-11
27/06/2019 21:45:57 4.913310E-9 4.383614E-11
27/06/2019 21:46:30 4.915169E-9 4.309588E-11
27/06/2019 21:47:02 4.915185E-9 4.370111E-11
27/06/2019 21:47:35 4.915982E-9 4.394907E-11
27/06/2019 21:48:08 4.915048E-9 4.366629E-11
27/06/2019 21:48:40 4.915713E-9 4.363419E-11
27/06/2019 21:49:13 4.914225E-9 4.394059E-11
