Time Current Current STD
27/06/2019 18:43:17 3.515469E-12 1.114796E-13
27/06/2019 18:43:50 2.706772E-11 4.656345E-13
27/06/2019 18:44:22 8.724947E-11 4.357727E-13
27/06/2019 18:44:54 1.200066E-10 2.229562E-13
27/06/2019 18:45:27 1.220694E-10 3.270468E-13
27/06/2019 18:45:59 1.279408E-10 1.946174E-13
27/06/2019 18:46:31 2.146932E-10 8.653630E-13
27/06/2019 18:47:04 2.982397E-10 3.754286E-13
27/06/2019 18:47:36 3.204029E-10 5.007734E-13
27/06/2019 18:48:08 3.593982E-10 3.475440E-13
27/06/2019 18:48:41 4.179220E-10 4.813056E-13
27/06/2019 18:49:13 4.915518E-10 6.673547E-13
27/06/2019 18:49:45 5.788862E-10 1.425872E-12
27/06/2019 18:50:18 7.094312E-10 2.513253E-13
27/06/2019 18:50:50 7.631743E-10 7.997236E-13
27/06/2019 18:51:22 8.089273E-10 6.362002E-13
27/06/2019 18:51:55 8.969587E-10 8.616693E-13
27/06/2019 18:52:27 9.609048E-10 1.346487E-12
27/06/2019 18:52:59 1.021616E-9 8.643942E-13
27/06/2019 18:53:32 1.051219E-9 5.404356E-13
27/06/2019 18:54:04 1.138371E-9 2.894434E-13
27/06/2019 18:54:36 1.161598E-9 1.052714E-12
27/06/2019 18:55:09 4.901404E-10 1.880050E-12
27/06/2019 18:55:41 8.079488E-10 7.319042E-13
27/06/2019 18:56:13 9.730170E-10 8.202208E-13
27/06/2019 18:56:46 9.741086E-10 9.439911E-13
27/06/2019 18:57:18 1.012357E-9 1.080871E-12
27/06/2019 18:57:50 1.054851E-9 4.244766E-13
