Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;10.86;25.0;120.0;0.0
1;10.86;17.0;120.0;0.0
2;10.86;17.0;120.0;0.0
3;10.87;17.0;120.0;0.0
4;10.89;17.0;120.0;0.0
5;10.9;17.0;120.0;0.0
6;10.91;17.0;120.0;0.0
7;10.91;17.0;120.0;0.0
8;10.93;17.0;120.0;0.0
9;10.93;17.0;120.0;0.0
10;10.96;17.0;120.0;0.0
11;10.98;17.0;120.0;0.0
12;11.01;17.0;120.0;0.0
13;11.04;17.0;120.0;0.0
14;11.06;17.0;120.0;0.0
15;11.09;17.0;120.0;0.0
16;11.12;17.0;120.0;0.0
17;11.15;17.0;120.0;0.0
18;11.19;17.0;120.0;0.0
19;11.23;17.0;120.0;0.0
20;11.26;17.0;120.0;0.0
21;11.32;17.0;120.0;0.0
22;11.35;17.0;120.0;0.0
23;11.39;17.0;120.0;0.0
24;11.44;17.0;120.0;0.0
25;11.48;17.0;120.0;0.0
26;11.52;17.0;120.0;0.0
27;11.57;17.0;120.0;0.0
28;11.63;17.0;120.0;0.0
29;11.67;17.0;120.0;0.0
30;11.72;17.0;120.0;0.0
31;11.78;17.0;120.0;0.0
32;11.84;17.0;120.0;0.0
33;11.89;17.0;120.0;0.0
34;11.95;17.0;120.0;0.0
35;12.02;17.0;120.0;0.0
36;12.07;17.0;120.0;0.0
37;12.13;17.0;120.0;0.0
38;12.21;17.0;120.0;0.0
39;12.27;17.0;120.0;0.0
40;12.35;17.0;120.0;0.0
41;12.42;17.0;120.0;0.0
42;12.5;17.0;120.0;0.0
43;12.55;17.0;120.0;0.0
44;12.63;17.0;120.0;0.0
45;12.68;17.0;120.0;0.0
46;12.72;17.0;120.0;0.0
47;12.79;17.0;120.0;0.0
48;12.85;17.0;120.0;0.0
49;12.93;17.0;120.0;0.0
50;13.01;17.0;120.0;0.0
51;13.08;17.0;120.0;0.0
52;13.15;17.0;120.0;0.0
53;13.24;17.0;120.0;0.0
54;13.33;17.0;120.0;0.0
55;13.4;17.0;120.0;0.0
56;13.48;17.0;120.0;0.0
57;13.56;17.0;120.0;0.0
