Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;24.35;25.0;120.0;255.0
1;24.35;25.0;120.0;255.0
2;24.37;25.0;120.0;255.0
3;24.41;25.0;120.0;255.0
4;24.46;25.0;120.0;255.0
5;24.51;25.0;120.0;255.0
6;24.56;25.0;120.0;255.0
7;24.59;25.0;120.0;255.0
8;24.62;25.0;120.0;255.0
9;24.62;25.0;120.0;255.0
10;24.62;25.0;120.0;255.0
11;24.62;25.0;120.0;255.0
12;24.61;25.0;120.0;255.0
13;24.59;25.0;120.0;255.0
14;24.57;25.0;120.0;255.0
15;24.56;25.0;120.0;255.0
16;24.53;25.0;120.0;255.0
17;24.51;25.0;120.0;255.0
18;24.5;25.0;120.0;255.0
19;24.48;25.0;120.0;255.0
20;24.44;25.0;120.0;255.0
21;24.44;25.0;120.0;255.0
22;24.41;25.0;120.0;255.0
23;24.39;25.0;120.0;255.0
24;24.37;25.0;120.0;255.0
25;24.35;25.0;120.0;255.0
26;24.33;25.0;120.0;255.0
27;24.31;25.0;120.0;255.0
28;24.3;25.0;120.0;255.0
29;24.29;25.0;120.0;255.0
30;24.28;25.0;120.0;255.0
31;24.28;25.0;120.0;255.0
32;24.26;25.0;120.0;255.0
33;24.26;25.0;120.0;255.0
34;24.26;25.0;120.0;255.0
35;24.28;25.0;120.0;255.0
36;24.26;25.0;120.0;255.0
37;24.26;25.0;120.0;255.0
38;24.28;25.0;120.0;255.0
39;24.28;25.0;120.0;255.0
40;24.29;25.0;120.0;255.0
41;24.29;25.0;120.0;255.0
42;24.3;25.0;120.0;255.0
43;24.31;25.0;120.0;255.0
44;24.33;25.0;120.0;255.0
45;24.33;25.0;120.0;255.0
46;24.35;25.0;120.0;255.0
47;24.37;25.0;120.0;255.0
48;24.37;25.0;120.0;255.0
49;24.39;25.0;120.0;255.0
50;24.41;25.0;120.0;255.0
51;24.42;25.0;120.0;255.0
52;24.44;25.0;120.0;255.0
53;24.46;25.0;120.0;255.0
54;24.48;25.0;120.0;255.0
55;24.5;25.0;120.0;255.0
56;24.51;25.0;120.0;255.0
57;24.53;25.0;120.0;255.0
58;24.55;25.0;120.0;255.0
59;24.57;25.0;120.0;255.0
60;24.59;25.0;120.0;255.0
61;24.61;25.0;120.0;255.0
62;24.62;25.0;120.0;255.0
63;24.63;25.0;120.0;255.0
64;24.64;25.0;120.0;255.0
65;24.66;25.0;120.0;255.0
66;24.67;25.0;120.0;255.0
67;24.68;25.0;120.0;255.0
68;24.68;25.0;120.0;255.0
69;24.7;25.0;120.0;255.0
70;24.7;25.0;120.0;255.0
71;24.72;25.0;120.0;255.0
72;24.73;25.0;120.0;255.0
73;24.74;25.0;120.0;255.0
74;24.76;25.0;120.0;255.0
75;24.77;25.0;120.0;255.0
76;24.78;25.0;120.0;255.0
77;24.79;25.0;120.0;255.0
78;24.81;25.0;120.0;255.0
79;24.81;25.0;120.0;255.0
80;24.81;25.0;120.0;255.0
81;24.83;25.0;120.0;255.0
82;24.84;25.0;120.0;255.0
83;24.84;25.0;120.0;255.0
84;24.85;25.0;120.0;255.0
85;24.87;25.0;120.0;255.0
86;24.88;25.0;120.0;255.0
87;24.89;25.0;120.0;255.0
88;24.89;25.0;120.0;255.0
89;24.9;25.0;120.0;255.0
