Time Current Current STD
27/06/2019 14:37:53 8.604060E-13 2.405461E-12
27/06/2019 14:38:25 2.491410E-12 2.531418E-13
27/06/2019 14:38:57 5.158077E-12 2.306615E-13
27/06/2019 14:39:30 8.386317E-12 2.750072E-13
27/06/2019 14:40:02 9.426861E-12 4.499267E-13
27/06/2019 14:40:34 9.818969E-12 2.358973E-13
27/06/2019 14:41:07 9.227192E-12 3.972647E-13
27/06/2019 14:41:39 9.357490E-12 2.873255E-13
27/06/2019 14:42:12 8.108427E-12 2.343550E-13
27/06/2019 14:42:44 7.140103E-12 3.569233E-13
27/06/2019 14:43:16 6.782371E-12 3.239716E-13
27/06/2019 14:43:49 6.612096E-12 3.350583E-13
27/06/2019 14:44:21 5.952678E-12 2.405144E-13
27/06/2019 14:44:53 4.626822E-12 3.516882E-13
27/06/2019 14:45:26 4.315574E-12 7.304767E-13
27/06/2019 14:45:58 4.801669E-12 1.549034E-13
27/06/2019 14:46:30 7.048558E-12 3.027208E-13
27/06/2019 14:47:03 8.675189E-12 2.904062E-13
27/06/2019 14:47:35 9.527361E-12 3.212028E-13
27/06/2019 14:48:07 8.868045E-12 2.762371E-13
27/06/2019 14:48:40 7.199811E-12 3.535357E-13
27/06/2019 14:49:12 6.167096E-12 2.916366E-13
27/06/2019 14:49:44 5.517645E-12 2.026364E-13
27/06/2019 14:50:17 2.650903E-12 5.586363E-13
27/06/2019 14:50:49 4.386981E-12 3.264364E-13
27/06/2019 14:51:21 3.762548E-12 3.655467E-13
27/06/2019 14:51:54 3.309713E-12 3.205840E-13
27/06/2019 14:52:26 2.972629E-12 3.938785E-13
27/06/2019 14:52:58 2.244449E-12 2.734674E-13
27/06/2019 14:53:31 1.770863E-12 3.769410E-13
27/06/2019 14:54:03 2.124324E-12 4.259062E-13
27/06/2019 14:54:35 2.777439E-12 3.018004E-13
27/06/2019 14:55:08 3.489446E-12 2.229619E-13
27/06/2019 14:55:40 4.150800E-12 2.285040E-13
27/06/2019 14:56:12 4.138288E-12 1.967843E-13
27/06/2019 14:56:45 3.749938E-12 2.047921E-13
27/06/2019 14:57:17 3.610691E-12 4.797984E-13
27/06/2019 14:57:49 3.510298E-12 3.587717E-13
27/06/2019 14:58:22 2.927368E-12 4.175914E-13
27/06/2019 14:58:54 2.821279E-12 2.503706E-13
27/06/2019 14:59:26 2.615305E-12 2.771632E-13
27/06/2019 14:59:59 2.333452E-12 3.058024E-13
27/06/2019 15:00:31 2.113543E-12 3.729378E-13
27/06/2019 15:01:03 2.231737E-12 3.396781E-13
27/06/2019 15:01:36 2.070416E-12 2.836300E-13
27/06/2019 15:02:08 1.805855E-12 3.713982E-13
27/06/2019 15:02:40 1.679220E-12 3.630837E-13
27/06/2019 15:03:13 1.834641E-12 2.743911E-13
27/06/2019 15:03:45 1.991180E-12 2.981037E-13
27/06/2019 15:04:17 2.184847E-12 3.067264E-13
27/06/2019 15:04:50 2.305076E-12 4.206720E-13
27/06/2019 15:05:22 2.458360E-12 2.879417E-13
27/06/2019 15:05:55 2.038582E-12 3.664707E-13
27/06/2019 15:06:27 1.978162E-12 3.319800E-13
27/06/2019 15:06:59 2.184746E-12 3.045710E-13
27/06/2019 15:07:32 2.267441E-12 1.860070E-13
27/06/2019 15:08:04 1.760899E-12 2.020215E-13
27/06/2019 15:08:36 -8.391545E-14 3.248968E-13
