Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;16.53;45.0;120.0;0.0
30;17.12;45.0;120.0;0.0
60;19.57;45.0;120.0;0.0
90;22.86;45.0;120.0;0.0
120;26.62;45.0;120.0;0.0
150;30.51;45.0;120.0;0.0
180;34.53;45.0;120.0;0.0
210;38.33;45.0;120.0;0.0
240;41.41;45.0;120.0;0.0
270;42.89;45.0;120.0;0.0
300;43.64;45.0;120.0;0.0
330;44.08;45.0;120.0;0.0
360;44.44;45.0;120.0;0.0
390;44.71;45.0;120.0;0.0
420;44.91;45.0;120.0;0.0
450;45.05;45.0;120.0;0.0
480;45.06;45.0;120.0;0.0
510;45.12;45.0;120.0;0.0
540;45.12;45.0;120.0;0.0
570;45.13;45.0;120.0;0.0
600;45.12;45.0;120.0;0.0
630;45.09;45.0;120.0;0.0
660;45.09;45.0;120.0;0.0
690;45.08;45.0;120.0;0.0
720;45.07;45.0;120.0;0.0
750;45.07;45.0;120.0;0.0
780;45.06;45.0;120.0;0.0
810;45.03;45.0;120.0;0.0
840;45.05;45.0;120.0;0.0
870;45.03;45.0;120.0;0.0
900;45.05;45.0;120.0;0.0
930;45.03;45.0;120.0;0.0
960;45.03;45.0;120.0;0.0
990;45.03;45.0;120.0;0.0
1020;45.03;45.0;120.0;0.0
1050;45.02;45.0;120.0;0.0
1080;45.02;45.0;120.0;0.0
1110;45.02;45.0;120.0;0.0
1140;45.02;45.0;120.0;0.0
1170;45.02;45.0;120.0;0.0
1200;45.03;45.0;120.0;0.0
1230;45.02;45.0;120.0;0.0
1260;45.02;45.0;120.0;0.0
1290;45.03;45.0;120.0;0.0
1320;45.03;45.0;120.0;0.0
1350;45.02;45.0;120.0;0.0
1380;45.01;45.0;120.0;0.0
1410;45.02;45.0;120.0;0.0
1440;45.02;45.0;120.0;0.0
1470;45.02;45.0;120.0;0.0
1500;45.01;45.0;120.0;0.0
1530;45.01;45.0;120.0;0.0
1560;45.01;45.0;120.0;0.0
1590;45.01;45.0;120.0;0.0
1620;45.0;45.0;120.0;0.0
1650;45.0;45.0;120.0;0.0
1680;45.01;45.0;120.0;0.0
1710;45.01;45.0;120.0;0.0
1740;45.02;45.0;120.0;0.0
1770;45.02;45.0;120.0;0.0
1800;45.01;45.0;120.0;0.0
1830;45.02;45.0;120.0;0.0
1860;45.01;45.0;120.0;0.0
1890;45.01;45.0;120.0;0.0
1920;45.01;45.0;120.0;0.0
