Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;32.06;35.0;120.0;0.0
1;32.06;45.0;120.0;0.0
2;32.05;45.0;120.0;0.0
3;32.05;45.0;120.0;0.0
4;32.05;45.0;120.0;0.0
5;32.04;45.0;120.0;0.0
6;32.04;45.0;120.0;0.0
7;32.04;45.0;120.0;0.0
8;32.04;45.0;120.0;0.0
9;32.04;45.0;120.0;0.0
10;32.05;45.0;120.0;0.0
11;32.06;45.0;120.0;0.0
12;32.08;45.0;120.0;0.0
13;32.08;45.0;120.0;0.0
14;32.11;45.0;120.0;0.0
15;32.12;45.0;120.0;0.0
16;32.15;45.0;120.0;0.0
17;32.17;45.0;120.0;0.0
18;32.2;45.0;120.0;0.0
19;32.23;45.0;120.0;0.0
20;32.26;45.0;120.0;0.0
21;32.3;45.0;120.0;0.0
22;32.34;45.0;120.0;0.0
23;32.37;45.0;120.0;0.0
24;32.41;45.0;120.0;0.0
25;32.46;45.0;120.0;0.0
26;32.5;45.0;120.0;0.0
27;32.54;45.0;120.0;0.0
28;32.59;45.0;120.0;0.0
29;32.65;45.0;120.0;0.0
30;32.69;45.0;120.0;0.0
31;32.76;45.0;120.0;0.0
32;32.8;45.0;120.0;0.0
33;32.87;45.0;120.0;0.0
34;32.91;45.0;120.0;0.0
35;32.98;45.0;120.0;0.0
36;33.04;45.0;120.0;0.0
37;33.11;45.0;120.0;0.0
38;33.18;45.0;120.0;0.0
39;33.24;45.0;120.0;0.0
40;33.32;45.0;120.0;0.0
41;33.39;45.0;120.0;0.0
42;33.47;45.0;120.0;0.0
43;33.54;45.0;120.0;0.0
44;33.62;45.0;120.0;0.0
45;33.69;45.0;120.0;0.0
46;33.77;45.0;120.0;0.0
47;33.84;45.0;120.0;0.0
48;33.92;45.0;120.0;0.0
49;33.99;45.0;120.0;0.0
50;34.06;45.0;120.0;0.0
51;34.14;45.0;120.0;0.0
52;34.22;45.0;120.0;0.0
53;34.31;45.0;120.0;0.0
54;34.4;45.0;120.0;0.0
55;34.47;45.0;120.0;0.0
56;34.55;45.0;120.0;0.0
57;34.64;45.0;120.0;0.0
58;34.7;45.0;120.0;0.0
59;34.78;45.0;120.0;0.0
60;34.85;45.0;120.0;0.0
61;34.93;45.0;120.0;0.0
62;35.02;45.0;120.0;0.0
63;35.11;45.0;120.0;0.0
64;35.19;45.0;120.0;0.0
65;35.3;45.0;120.0;0.0
66;35.38;45.0;120.0;0.0
67;35.48;45.0;120.0;0.0
68;35.58;45.0;120.0;0.0
69;35.68;45.0;120.0;0.0
70;35.78;45.0;120.0;0.0
71;35.86;45.0;120.0;0.0
72;35.97;45.0;120.0;0.0
73;36.07;45.0;120.0;0.0
74;36.18;45.0;120.0;0.0
75;36.31;45.0;120.0;0.0
76;36.42;45.0;120.0;0.0
77;36.51;45.0;120.0;0.0
78;36.62;45.0;120.0;0.0
79;36.73;45.0;120.0;0.0
80;36.83;45.0;120.0;0.0
81;36.95;45.0;120.0;0.0
82;37.06;45.0;120.0;0.0
