Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;11.45;5.0;120.0;0.0
30;12.32;45.0;120.0;0.0
60;14.79;45.0;120.0;0.0
90;18.02;45.0;120.0;0.0
120;21.54;45.0;120.0;0.0
150;25.26;45.0;120.0;0.0
180;29.08;45.0;120.0;0.0
210;32.93;45.0;120.0;0.0
240;36.57;45.0;120.0;0.0
270;40.06;45.0;120.0;0.0
300;42.12;45.0;120.0;0.0
330;43.18;45.0;120.0;0.0
360;43.71;45.0;120.0;0.0
390;44.17;45.0;120.0;0.0
420;44.47;45.0;120.0;0.0
450;44.74;45.0;120.0;0.0
480;44.92;45.0;120.0;0.0
510;45.09;45.0;120.0;0.0
540;45.14;45.0;120.0;0.0
570;45.16;45.0;120.0;0.0
600;45.17;45.0;120.0;0.0
630;45.17;45.0;120.0;0.0
660;45.16;45.0;120.0;0.0
690;45.14;45.0;120.0;0.0
720;45.13;45.0;120.0;0.0
750;45.08;45.0;120.0;0.0
780;45.09;45.0;120.0;0.0
810;45.09;45.0;120.0;0.0
840;45.11;45.0;120.0;0.0
870;45.08;45.0;120.0;0.0
900;45.05;45.0;120.0;0.0
930;45.06;45.0;120.0;0.0
960;45.05;45.0;120.0;0.0
990;45.03;45.0;120.0;0.0
1020;45.03;45.0;120.0;0.0
1050;45.05;45.0;120.0;0.0
1080;45.03;45.0;120.0;0.0
1110;45.03;45.0;120.0;0.0
1140;45.02;45.0;120.0;0.0
1170;45.02;45.0;120.0;0.0
1200;45.02;45.0;120.0;0.0
1230;45.02;45.0;120.0;0.0
1260;45.02;45.0;120.0;0.0
1290;45.03;45.0;120.0;0.0
1320;45.02;45.0;120.0;0.0
1350;45.02;45.0;120.0;0.0
1380;45.03;45.0;120.0;0.0
1410;45.03;45.0;120.0;0.0
1440;45.02;45.0;120.0;0.0
1470;45.01;45.0;120.0;0.0
1500;45.01;45.0;120.0;0.0
1530;45.0;45.0;120.0;0.0
1560;45.0;45.0;120.0;0.0
1590;45.01;45.0;120.0;0.0
1620;45.01;45.0;120.0;0.0
1650;45.01;45.0;120.0;0.0
1680;45.01;45.0;120.0;0.0
1710;45.01;45.0;120.0;0.0
1740;45.0;45.0;120.0;0.0
1770;45.01;45.0;120.0;0.0
1800;45.02;45.0;120.0;0.0
1830;45.02;45.0;120.0;0.0
1860;45.02;45.0;120.0;0.0
1890;45.02;45.0;120.0;0.0
1920;45.02;45.0;120.0;0.0
1950;45.01;45.0;120.0;0.0
1980;45.01;45.0;120.0;0.0
2010;45.0;45.0;120.0;0.0
2040;44.98;45.0;120.0;0.0
2070;45.0;45.0;120.0;0.0
2100;45.0;45.0;120.0;0.0
2130;45.0;45.0;120.0;0.0
2160;45.01;45.0;120.0;0.0
2190;45.01;45.0;120.0;0.0
2220;45.02;45.0;120.0;0.0
2250;45.02;45.0;120.0;0.0
2280;45.01;45.0;120.0;0.0
2310;45.01;45.0;120.0;0.0
2340;45.01;45.0;120.0;0.0
2370;45.01;45.0;120.0;0.0
2400;45.0;45.0;120.0;0.0
2430;45.0;45.0;120.0;0.0
2460;45.0;45.0;120.0;0.0
2490;45.01;45.0;120.0;0.0
2520;45.0;45.0;120.0;0.0
2550;45.0;45.0;120.0;0.0
2580;45.01;45.0;120.0;0.0
2610;45.01;45.0;120.0;0.0
2640;45.01;45.0;120.0;0.0
2670;45.0;45.0;120.0;0.0
2700;45.0;45.0;120.0;0.0
2730;44.98;45.0;120.0;0.0
2760;44.98;45.0;120.0;0.0
2790;45.0;45.0;120.0;0.0
2820;45.01;45.0;120.0;0.0
2850;45.01;45.0;120.0;0.0
2880;45.01;45.0;120.0;0.0
2910;45.02;45.0;120.0;0.0
2940;45.02;45.0;120.0;0.0
2970;45.01;45.0;120.0;0.0
3000;45.0;45.0;120.0;0.0
3030;45.0;45.0;120.0;0.0
3060;45.0;45.0;120.0;0.0
3090;45.0;45.0;120.0;0.0
3120;45.0;45.0;120.0;0.0
3150;45.0;45.0;120.0;0.0
3180;45.0;45.0;120.0;0.0
3210;45.0;45.0;120.0;0.0
3240;45.0;45.0;120.0;0.0
3270;45.0;45.0;120.0;0.0
3300;45.0;45.0;120.0;0.0
3330;45.0;45.0;120.0;0.0
3360;45.01;45.0;120.0;0.0
3390;45.0;45.0;120.0;0.0
3420;45.0;45.0;120.0;0.0
3450;45.0;45.0;120.0;0.0
3480;45.0;45.0;120.0;0.0
3510;45.0;45.0;120.0;0.0
3540;45.0;45.0;120.0;0.0
3570;45.0;45.0;120.0;0.0
3600;45.0;45.0;120.0;0.0
3630;45.0;45.0;120.0;0.0
3660;45.0;45.0;120.0;0.0
3690;45.0;45.0;120.0;0.0
3720;45.0;45.0;120.0;0.0
3750;44.98;45.0;120.0;0.0
3780;45.0;45.0;120.0;0.0
3810;45.0;45.0;120.0;0.0
3840;45.01;45.0;120.0;0.0
3870;45.01;45.0;120.0;0.0
3900;45.0;45.0;120.0;0.0
3930;45.0;45.0;120.0;0.0
3960;45.01;45.0;120.0;0.0
3990;44.98;45.0;120.0;0.0
4020;45.0;45.0;120.0;0.0
4050;42.14;35.0;120.0;0.0
4080;37.97;35.0;120.0;0.0
4110;36.07;35.0;120.0;0.0
4140;35.3;35.0;120.0;0.0
4170;35.15;35.0;120.0;0.0
4200;35.33;35.0;120.0;0.0
4230;35.3;35.0;120.0;0.0
4260;35.17;35.0;120.0;0.0
4290;35.23;35.0;120.0;0.0
4320;35.17;35.0;120.0;0.0
4350;35.13;35.0;120.0;0.0
4380;35.12;35.0;120.0;0.0
4410;35.08;35.0;120.0;0.0
4440;35.06;35.0;120.0;0.0
4470;35.04;35.0;120.0;0.0
4500;35.02;35.0;120.0;0.0
4530;35.02;35.0;120.0;0.0
4560;35.01;35.0;120.0;0.0
4590;34.99;35.0;120.0;0.0
4620;34.99;35.0;120.0;0.0
4650;35.0;35.0;120.0;0.0
4680;34.99;35.0;120.0;0.0
4710;34.99;35.0;120.0;0.0
4740;34.97;35.0;120.0;0.0
4770;34.97;35.0;120.0;0.0
4800;34.96;35.0;120.0;0.0
4830;34.95;35.0;120.0;0.0
4860;34.93;35.0;120.0;0.0
4890;34.8;35.0;120.0;0.0
4920;34.93;35.0;120.0;0.0
4950;35.06;35.0;120.0;0.0
4980;35.07;35.0;120.0;0.0
5010;35.07;35.0;120.0;0.0
5040;35.04;35.0;120.0;0.0
5070;35.04;35.0;120.0;0.0
5100;35.02;35.0;120.0;0.0
5130;34.99;35.0;120.0;0.0
5160;34.95;35.0;120.0;0.0
5190;34.79;35.0;120.0;0.0
5220;34.87;35.0;120.0;0.0
5250;35.04;35.0;120.0;0.0
5280;35.08;35.0;120.0;0.0
5310;35.1;35.0;120.0;0.0
5340;35.06;35.0;120.0;0.0
5370;35.06;35.0;120.0;0.0
5400;35.04;35.0;120.0;0.0
5430;35.0;35.0;120.0;0.0
5460;34.93;35.0;120.0;0.0
5490;34.79;35.0;120.0;0.0
5520;34.93;35.0;120.0;0.0
5550;35.07;35.0;120.0;0.0
5580;35.11;35.0;120.0;0.0
5610;35.1;35.0;120.0;0.0
5640;35.07;35.0;120.0;0.0
5670;35.04;35.0;120.0;0.0
5700;35.01;35.0;120.0;0.0
5730;34.96;35.0;120.0;0.0
5760;34.79;35.0;120.0;0.0
5790;34.82;35.0;120.0;0.0
5820;35.02;35.0;120.0;0.0
5850;35.11;35.0;120.0;0.0
5880;35.1;35.0;120.0;0.0
5910;35.08;35.0;120.0;0.0
5940;35.04;35.0;120.0;0.0
5970;35.01;35.0;120.0;0.0
6000;34.95;35.0;120.0;0.0
6030;34.78;35.0;120.0;0.0
6060;34.9;35.0;120.0;0.0
6090;35.06;35.0;120.0;0.0
6120;35.11;35.0;120.0;0.0
6150;35.1;35.0;120.0;0.0
6180;35.08;35.0;120.0;0.0
6210;35.04;35.0;120.0;0.0
6240;35.0;35.0;120.0;0.0
6270;34.86;35.0;120.0;0.0
6300;34.74;35.0;120.0;0.0
6330;34.93;35.0;120.0;0.0
6360;35.08;35.0;120.0;0.0
6390;35.13;35.0;120.0;0.0
6420;35.11;35.0;120.0;0.0
6450;35.08;35.0;120.0;0.0
6480;35.06;35.0;120.0;0.0
6510;35.01;35.0;120.0;0.0
6540;34.9;35.0;120.0;0.0
6570;34.76;35.0;120.0;0.0
6600;34.93;35.0;120.0;0.0
6630;35.06;35.0;120.0;0.0
6660;35.1;35.0;120.0;0.0
6690;35.11;35.0;120.0;0.0
6720;35.07;35.0;120.0;0.0
6750;35.04;35.0;120.0;0.0
6780;35.0;35.0;120.0;0.0
6810;34.82;35.0;120.0;0.0
6840;34.78;35.0;120.0;0.0
6870;34.97;35.0;120.0;0.0
6900;35.1;35.0;120.0;0.0
6930;35.11;35.0;120.0;0.0
6960;35.07;35.0;120.0;0.0
6990;35.06;35.0;120.0;0.0
7020;35.04;35.0;120.0;0.0
7050;35.01;35.0;120.0;0.0
7080;34.93;35.0;120.0;0.0
7110;34.76;35.0;120.0;0.0
7140;34.89;35.0;120.0;0.0
7170;35.07;35.0;120.0;0.0
7200;35.11;35.0;120.0;0.0
7230;35.1;35.0;120.0;0.0
7260;35.07;35.0;120.0;0.0
7290;35.04;35.0;120.0;0.0
7320;35.01;35.0;120.0;0.0
7350;34.89;35.0;120.0;0.0
7380;34.79;35.0;120.0;0.0
7410;34.95;35.0;120.0;0.0
7440;35.07;35.0;120.0;0.0
7470;35.12;35.0;120.0;0.0
7500;35.11;35.0;120.0;0.0
7530;35.06;35.0;120.0;0.0
7560;35.04;35.0;120.0;0.0
7590;35.0;35.0;120.0;0.0
7620;34.91;35.0;120.0;0.0
7650;34.78;35.0;120.0;0.0
7680;34.93;35.0;120.0;0.0
7710;35.08;35.0;120.0;0.0
7740;32.83;25.0;120.0;0.0
7770;28.22;25.0;120.0;0.0
7800;26.41;25.0;120.0;0.0
7830;25.55;25.0;120.0;0.0
7860;25.43;25.0;120.0;0.0
7890;25.33;25.0;120.0;0.0
7920;25.28;25.0;120.0;0.0
7950;25.25;25.0;120.0;0.0
7980;25.17;25.0;120.0;0.0
8010;25.09;25.0;120.0;0.0
8040;25.03;25.0;120.0;0.0
8070;25.09;25.0;120.0;0.0
8100;25.03;25.0;120.0;0.0
8130;25.03;25.0;120.0;0.0
8160;25.03;25.0;120.0;0.0
8190;25.01;25.0;120.0;0.0
8220;25.0;25.0;120.0;0.0
8250;24.99;25.0;120.0;0.0
8280;24.99;25.0;120.0;0.0
8310;25.0;25.0;120.0;0.0
8340;25.0;25.0;120.0;0.0
8370;24.99;25.0;120.0;0.0
8400;24.98;25.0;120.0;0.0
8430;24.99;25.0;120.0;0.0
8460;24.99;25.0;120.0;0.0
8490;25.0;25.0;120.0;0.0
8520;24.99;25.0;120.0;0.0
8550;24.98;25.0;120.0;0.0
8580;25.0;25.0;120.0;0.0
8610;25.01;25.0;120.0;0.0
8640;25.0;25.0;120.0;0.0
8670;24.99;25.0;120.0;0.0
8700;25.0;25.0;120.0;0.0
8730;25.0;25.0;120.0;0.0
8760;25.01;25.0;120.0;0.0
8790;25.01;25.0;120.0;0.0
8820;24.99;25.0;120.0;0.0
8850;25.0;25.0;120.0;0.0
8880;25.01;25.0;120.0;0.0
8910;25.0;25.0;120.0;0.0
8940;24.99;25.0;120.0;0.0
8970;24.99;25.0;120.0;0.0
9000;25.01;25.0;120.0;0.0
9030;25.0;25.0;120.0;0.0
9060;25.0;25.0;120.0;0.0
9090;24.99;25.0;120.0;0.0
9120;25.0;25.0;120.0;0.0
9150;25.0;25.0;120.0;0.0
9180;24.99;25.0;120.0;0.0
9210;24.99;25.0;120.0;0.0
9240;24.96;25.0;120.0;0.0
9270;24.96;25.0;120.0;0.0
9300;24.95;25.0;120.0;0.0
9330;24.85;25.0;120.0;0.0
9360;24.81;25.0;120.0;0.0
9390;25.03;25.0;120.0;0.0
9420;25.07;25.0;120.0;0.0
9450;25.1;25.0;120.0;0.0
9480;25.07;25.0;120.0;0.0
9510;25.06;25.0;120.0;0.0
9540;25.03;25.0;120.0;0.0
9570;25.0;25.0;120.0;0.0
9600;25.0;25.0;120.0;0.0
9630;25.0;25.0;120.0;0.0
9660;24.99;25.0;120.0;0.0
9690;25.0;25.0;120.0;0.0
9720;24.99;25.0;120.0;0.0
9750;24.98;25.0;120.0;0.0
9780;24.94;25.0;120.0;0.0
9810;24.81;25.0;120.0;0.0
9840;24.98;25.0;120.0;0.0
9870;25.07;25.0;120.0;0.0
9900;25.09;25.0;120.0;0.0
9930;25.06;25.0;120.0;0.0
9960;25.03;25.0;120.0;0.0
9990;25.03;25.0;120.0;0.0
10020;25.03;25.0;120.0;0.0
10050;25.01;25.0;120.0;0.0
10080;24.99;25.0;120.0;0.0
10110;25.0;25.0;120.0;0.0
10140;25.0;25.0;120.0;0.0
10170;24.99;25.0;120.0;0.0
10200;24.98;25.0;120.0;0.0
10230;24.96;25.0;120.0;0.0
10260;24.79;25.0;120.0;0.0
10290;24.96;25.0;120.0;0.0
10320;25.07;25.0;120.0;0.0
10350;25.09;25.0;120.0;0.0
10380;25.06;25.0;120.0;0.0
10410;25.06;25.0;120.0;0.0
10440;25.03;25.0;120.0;0.0
10470;25.01;25.0;120.0;0.0
10500;24.99;25.0;120.0;0.0
10530;25.0;25.0;120.0;0.0
10560;24.98;25.0;120.0;0.0
10590;24.89;25.0;120.0;0.0
10620;24.81;25.0;120.0;0.0
10650;24.99;25.0;120.0;0.0
10680;25.09;25.0;120.0;0.0
10710;25.07;25.0;120.0;0.0
10740;25.07;25.0;120.0;0.0
10770;25.03;25.0;120.0;0.0
10800;25.03;25.0;120.0;0.0
10830;25.03;25.0;120.0;0.0
10860;25.0;25.0;120.0;0.0
10890;24.98;25.0;120.0;0.0
10920;24.96;25.0;120.0;0.0
10950;24.94;25.0;120.0;0.0
10980;24.76;25.0;120.0;0.0
11010;24.92;25.0;120.0;0.0
11040;25.07;25.0;120.0;0.0
11070;25.11;25.0;120.0;0.0
11100;25.1;25.0;120.0;0.0
11130;25.07;25.0;120.0;0.0
11160;25.05;25.0;120.0;0.0
11190;25.03;25.0;120.0;0.0
11220;24.99;25.0;120.0;0.0
11250;25.0;25.0;120.0;0.0
11280;24.98;25.0;120.0;0.0
11310;24.83;25.0;120.0;0.0
11340;24.79;25.0;120.0;0.0
11370;25.01;25.0;120.0;0.0
11400;25.1;25.0;120.0;0.0
11430;25.1;25.0;120.0;0.0
11460;22.01;15.0;120.0;0.0
11490;17.99;15.0;120.0;0.0
11520;16.16;15.0;120.0;0.0
11550;15.58;15.0;120.0;0.0
11580;15.47;15.0;120.0;0.0
11610;15.42;15.0;120.0;0.0
11640;15.36;15.0;120.0;0.0
11670;15.24;15.0;120.0;0.0
11700;15.16;15.0;120.0;0.0
11730;15.14;15.0;120.0;0.0
11760;15.08;15.0;120.0;0.0
11790;15.05;15.0;120.0;0.0
11820;15.03;15.0;120.0;0.0
11850;15.0;15.0;120.0;0.0
11880;15.0;15.0;120.0;0.0
11910;15.0;15.0;120.0;0.0
11940;14.99;15.0;120.0;0.0
11970;14.98;15.0;120.0;0.0
12000;14.98;15.0;120.0;0.0
12030;14.98;15.0;120.0;0.0
12060;14.98;15.0;120.0;0.0
12090;15.0;15.0;120.0;0.0
12120;14.98;15.0;120.0;0.0
12150;14.99;15.0;120.0;0.0
12180;14.98;15.0;120.0;0.0
12210;15.0;15.0;120.0;0.0
12240;15.0;15.0;120.0;0.0
12270;15.0;15.0;120.0;0.0
12300;15.01;15.0;120.0;0.0
12330;15.0;15.0;120.0;0.0
12360;15.0;15.0;120.0;0.0
12390;15.0;15.0;120.0;0.0
12420;15.01;15.0;120.0;0.0
12450;15.0;15.0;120.0;0.0
12480;14.99;15.0;120.0;0.0
12510;15.0;15.0;120.0;0.0
12540;15.0;15.0;120.0;0.0
12570;15.0;15.0;120.0;0.0
12600;15.01;15.0;120.0;0.0
12630;15.0;15.0;120.0;0.0
12660;15.0;15.0;120.0;0.0
12690;15.0;15.0;120.0;0.0
12720;15.0;15.0;120.0;0.0
12750;15.0;15.0;120.0;0.0
12780;15.01;15.0;120.0;0.0
12810;15.01;15.0;120.0;0.0
12840;15.0;15.0;120.0;0.0
12870;14.99;15.0;120.0;0.0
12900;15.0;15.0;120.0;0.0
12930;15.0;15.0;120.0;0.0
12960;14.99;15.0;120.0;0.0
12990;14.99;15.0;120.0;0.0
13020;14.99;15.0;120.0;0.0
13050;14.99;15.0;120.0;0.0
13080;15.01;15.0;120.0;0.0
13110;15.01;15.0;120.0;0.0
13140;15.01;15.0;120.0;0.0
13170;14.98;15.0;120.0;0.0
13200;14.99;15.0;120.0;0.0
13230;15.0;15.0;120.0;0.0
13260;15.0;15.0;120.0;0.0
13290;15.0;15.0;120.0;0.0
13320;15.01;15.0;120.0;0.0
13350;15.01;15.0;120.0;0.0
13380;15.03;15.0;120.0;0.0
13410;15.01;15.0;120.0;0.0
13440;15.0;15.0;120.0;0.0
13470;14.99;15.0;120.0;0.0
13500;15.0;15.0;120.0;0.0
13530;15.01;15.0;120.0;0.0
13560;14.99;15.0;120.0;0.0
13590;14.99;15.0;120.0;0.0
13620;15.01;15.0;120.0;0.0
13650;15.0;15.0;120.0;0.0
13680;15.0;15.0;120.0;0.0
13710;15.01;15.0;120.0;0.0
13740;14.98;15.0;120.0;0.0
13770;15.0;15.0;120.0;0.0
13800;15.0;15.0;120.0;0.0
13830;15.01;15.0;120.0;0.0
13860;15.01;15.0;120.0;0.0
13890;15.0;15.0;120.0;0.0
13920;15.0;15.0;120.0;0.0
13950;15.0;15.0;120.0;0.0
13980;15.0;15.0;120.0;0.0
14010;15.0;15.0;120.0;0.0
14040;15.0;15.0;120.0;0.0
14070;15.0;15.0;120.0;0.0
14100;15.0;15.0;120.0;0.0
14130;15.01;15.0;120.0;0.0
14160;15.0;15.0;120.0;0.0
14190;15.0;15.0;120.0;0.0
14220;15.01;15.0;120.0;0.0
14250;15.01;15.0;120.0;0.0
14280;15.01;15.0;120.0;0.0
14310;15.01;15.0;120.0;0.0
14340;15.0;15.0;120.0;0.0
14370;15.0;15.0;120.0;0.0
14400;15.0;15.0;120.0;0.0
14430;14.99;15.0;120.0;0.0
14460;15.0;15.0;120.0;0.0
14490;15.01;15.0;120.0;0.0
14520;15.01;15.0;120.0;0.0
14550;15.01;15.0;120.0;0.0
14580;15.01;15.0;120.0;0.0
14610;15.01;15.0;120.0;0.0
14640;15.0;15.0;120.0;0.0
14670;15.01;15.0;120.0;0.0
14700;15.01;15.0;120.0;0.0
14730;15.01;15.0;120.0;0.0
14760;15.0;15.0;120.0;0.0
14790;15.0;15.0;120.0;0.0
14820;15.0;15.0;120.0;0.0
14850;15.01;15.0;120.0;0.0
14880;15.0;15.0;120.0;0.0
14910;15.0;15.0;120.0;0.0
14940;14.99;15.0;120.0;0.0
14970;15.0;15.0;120.0;0.0
15000;14.99;15.0;120.0;0.0
15030;14.99;15.0;120.0;0.0
15060;15.0;15.0;120.0;0.0
15090;15.0;15.0;120.0;0.0
15120;15.01;15.0;120.0;0.0
15150;15.0;15.0;120.0;0.0
15180;14.98;5.0;120.0;0.0
15210;9.76;5.0;120.0;0.0
15240;7.25;5.0;120.0;0.0
15270;6.3;5.0;120.0;0.0
15300;5.73;5.0;120.0;0.0
15330;5.45;5.0;120.0;0.0
15360;5.27;5.0;120.0;0.0
15390;5.19;5.0;120.0;0.0
15420;5.08;5.0;120.0;0.0
15450;5.05;5.0;120.0;0.0
15480;5.02;5.0;120.0;0.0
15510;5.01;5.0;120.0;0.0
15540;5.02;5.0;120.0;0.0
15570;5.01;5.0;120.0;0.0
15600;5.01;5.0;120.0;0.0
15630;4.99;5.0;120.0;0.0
15660;4.99;5.0;120.0;0.0
15690;4.97;5.0;120.0;0.0
15720;4.97;5.0;120.0;0.0
15750;4.97;5.0;120.0;0.0
15780;4.97;5.0;120.0;0.0
15810;5.0;5.0;120.0;0.0
15840;4.99;5.0;120.0;0.0
15870;5.0;5.0;120.0;0.0
15900;5.0;5.0;120.0;0.0
