Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;19.73;20.0;120.0;0.0
1;19.73;45.0;120.0;0.0
2;19.73;45.0;120.0;0.0
3;19.73;45.0;120.0;0.0
4;19.73;45.0;120.0;0.0
5;19.72;45.0;120.0;0.0
6;19.72;45.0;120.0;0.0
7;19.72;45.0;120.0;0.0
8;19.72;45.0;120.0;0.0
9;19.72;45.0;120.0;0.0
10;19.73;45.0;120.0;0.0
11;19.74;45.0;120.0;0.0
12;19.76;45.0;120.0;0.0
13;19.77;45.0;120.0;0.0
14;19.78;45.0;120.0;0.0
15;19.81;45.0;120.0;0.0
16;19.81;45.0;120.0;0.0
17;19.84;45.0;120.0;0.0
18;19.87;45.0;120.0;0.0
19;19.89;45.0;120.0;0.0
20;19.92;45.0;120.0;0.0
21;19.95;45.0;120.0;0.0
22;19.99;45.0;120.0;0.0
23;20.03;45.0;120.0;0.0
24;20.07;45.0;120.0;0.0
25;20.1;45.0;120.0;0.0
26;20.15;45.0;120.0;0.0
27;20.18;45.0;120.0;0.0
28;20.24;45.0;120.0;0.0
29;20.29;45.0;120.0;0.0
30;20.33;45.0;120.0;0.0
31;20.38;45.0;120.0;0.0
32;20.44;45.0;120.0;0.0
33;20.51;45.0;120.0;0.0
34;20.59;45.0;120.0;0.0
35;20.65;45.0;120.0;0.0
36;20.71;45.0;120.0;0.0
37;20.77;45.0;120.0;0.0
38;20.84;45.0;120.0;0.0
39;20.91;45.0;120.0;0.0
40;20.97;45.0;120.0;0.0
41;21.03;45.0;120.0;0.0
42;21.1;45.0;120.0;0.0
43;21.18;45.0;120.0;0.0
44;21.25;45.0;120.0;0.0
45;21.33;45.0;120.0;0.0
46;21.4;45.0;120.0;0.0
47;21.47;45.0;120.0;0.0
48;21.55;45.0;120.0;0.0
49;21.64;45.0;120.0;0.0
50;21.72;45.0;120.0;0.0
51;21.79;45.0;120.0;0.0
52;21.87;45.0;120.0;0.0
53;21.94;45.0;120.0;0.0
54;22.01;45.0;120.0;0.0
55;22.09;45.0;120.0;0.0
56;22.15;45.0;120.0;0.0
57;22.23;45.0;120.0;0.0
58;22.31;45.0;120.0;0.0
59;22.4;45.0;120.0;0.0
60;22.48;45.0;120.0;0.0
61;22.58;45.0;120.0;0.0
62;22.67;45.0;120.0;0.0
63;22.76;45.0;120.0;0.0
64;22.86;45.0;120.0;0.0
65;22.95;45.0;120.0;0.0
66;23.04;45.0;120.0;0.0
67;23.15;45.0;120.0;0.0
68;23.24;45.0;120.0;0.0
69;23.34;45.0;120.0;0.0
70;23.44;45.0;120.0;0.0
71;23.52;45.0;120.0;0.0
72;23.65;45.0;120.0;0.0
73;23.78;45.0;120.0;0.0
74;23.89;45.0;120.0;0.0
75;23.98;45.0;120.0;0.0
76;24.08;45.0;120.0;0.0
77;24.19;45.0;120.0;0.0
78;24.29;45.0;120.0;0.0
79;24.4;45.0;120.0;0.0
80;24.51;45.0;120.0;0.0
81;24.62;45.0;120.0;0.0
82;24.72;45.0;120.0;0.0
83;24.83;45.0;120.0;0.0
84;24.95;45.0;120.0;0.0
85;25.06;45.0;120.0;0.0
86;25.17;45.0;120.0;0.0
87;25.27;45.0;120.0;0.0
88;25.36;45.0;120.0;0.0
89;25.47;45.0;120.0;0.0
90;25.58;45.0;120.0;0.0
91;25.69;45.0;120.0;0.0
92;25.8;45.0;120.0;0.0
93;25.91;45.0;120.0;0.0
94;26.02;45.0;120.0;0.0
95;26.13;45.0;120.0;0.0
96;26.23;45.0;120.0;0.0
97;26.34;45.0;120.0;0.0
98;26.45;45.0;120.0;0.0
99;26.57;45.0;120.0;0.0
100;26.69;45.0;120.0;0.0
101;26.84;45.0;120.0;0.0
102;26.98;45.0;120.0;0.0
103;27.1;45.0;120.0;0.0
104;27.21;45.0;120.0;0.0
105;27.34;45.0;120.0;0.0
106;27.45;45.0;120.0;0.0
107;27.58;45.0;120.0;0.0
108;27.71;45.0;120.0;0.0
109;27.82;45.0;120.0;0.0
110;27.93;45.0;120.0;0.0
111;28.04;45.0;120.0;0.0
112;28.17;45.0;120.0;0.0
113;28.3;45.0;120.0;0.0
114;28.41;45.0;120.0;0.0
115;28.52;45.0;120.0;0.0
116;28.63;45.0;120.0;0.0
117;28.74;45.0;120.0;0.0
118;28.87;45.0;120.0;0.0
119;29.0;45.0;120.0;0.0
120;29.13;45.0;120.0;0.0
121;29.26;45.0;120.0;0.0
122;29.37;45.0;120.0;0.0
123;29.5;45.0;120.0;0.0
124;29.59;45.0;120.0;0.0
125;29.7;45.0;120.0;0.0
126;29.81;45.0;120.0;0.0
127;29.94;45.0;120.0;0.0
128;30.07;45.0;120.0;0.0
129;30.22;45.0;120.0;0.0
130;30.34;45.0;120.0;0.0
131;30.47;45.0;120.0;0.0
132;30.59;45.0;120.0;0.0
133;30.72;45.0;120.0;0.0
134;30.86;45.0;120.0;0.0
135;30.99;45.0;120.0;0.0
136;31.12;45.0;120.0;0.0
137;31.24;45.0;120.0;0.0
138;31.36;45.0;120.0;0.0
139;31.5;45.0;120.0;0.0
140;31.62;45.0;120.0;0.0
141;31.75;45.0;120.0;0.0
142;31.86;45.0;120.0;0.0
143;31.97;45.0;120.0;0.0
144;32.1;45.0;120.0;0.0
145;32.23;45.0;120.0;0.0
146;32.35;45.0;120.0;0.0
147;32.47;45.0;120.0;0.0
148;32.59;45.0;120.0;0.0
149;32.72;45.0;120.0;0.0
150;32.84;45.0;120.0;0.0
151;32.96;45.0;120.0;0.0
152;33.09;45.0;120.0;0.0
153;33.24;45.0;120.0;0.0
154;33.38;45.0;120.0;0.0
155;33.52;45.0;120.0;0.0
156;33.66;45.0;120.0;0.0
157;33.79;45.0;120.0;0.0
158;33.92;45.0;120.0;0.0
159;34.05;45.0;120.0;0.0
160;34.18;45.0;120.0;0.0
161;34.31;45.0;120.0;0.0
162;34.43;45.0;120.0;0.0
163;34.55;45.0;120.0;0.0
164;34.67;45.0;120.0;0.0
165;34.79;45.0;120.0;0.0
166;34.89;45.0;120.0;0.0
167;35.01;45.0;120.0;0.0
168;35.15;45.0;120.0;0.0
169;35.28;45.0;120.0;0.0
170;35.41;45.0;120.0;0.0
171;35.53;45.0;120.0;0.0
172;35.66;45.0;120.0;0.0
173;35.79;45.0;120.0;0.0
174;35.9;45.0;120.0;0.0
175;36.02;45.0;120.0;0.0
176;36.14;45.0;120.0;0.0
177;36.28;45.0;120.0;0.0
178;36.42;45.0;120.0;0.0
179;36.57;45.0;120.0;0.0
180;36.7;45.0;120.0;0.0
181;36.82;45.0;120.0;0.0
