Integration time [ms]: 17970.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1808445U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 176.58; 2140.001; 2108.999; 2256.000;31.00136
 176.92; 1171.804; 1316.860; 1344.351;-145.05529
 177.26;  170.494;  362.503;  337.354;-192.00935
 177.60;  292.388;  471.278;  484.340;-178.89042
 177.95; -760.692; -678.975; -719.337;-81.71703
 178.29; -376.317; -240.349; -265.665;-135.96801
 178.63;  936.388; 1030.611;  979.340;-94.22307
 178.97;  662.040;  802.626;  820.672;-140.58533
 179.31;  408.388;  511.611;  433.340;-103.22375
 179.66;-1262.636;-1130.698;-1150.329;-131.93772
 180.00;-1582.014;-1378.652;-1587.002;-203.36226
 180.34; -944.292; -793.042; -831.661;-151.24927
 180.68;  743.752;  944.246;  857.678;-200.49345
 181.02; 1648.396; 1768.269; 1887.675;-119.87272
 181.37; 3456.037; 3642.962; 3625.005;-186.92445
 181.71; 3660.049; 3694.950; 3698.673;-34.90063
 182.05; 3492.742; 3543.590; 3525.343;-50.84856
 182.39; 1407.045; 1389.621; 1444.339;17.42454
 182.73; -518.325; -337.675; -437.332;-180.65067
 183.08;  687.037;  750.962;  668.338;-63.92479
 183.42; 2799.442; 2836.889; 2666.347;-37.44648
 183.76; 3598.130; 3542.534; 3570.350;55.59640
 184.10; 2613.714; 2635.618; 2583.673;-21.90369
 184.44;  354.615;  334.720;  369.660;19.89518
 184.78; 2001.658; 1999.676; 1890.332; 1.98162
 185.13; 1910.771; 1921.227; 1865.347;-10.45669
 185.47; 1486.472; 1597.525; 1509.684;-111.05257
 185.81;  721.155;  827.842;  861.353;-106.68759
 186.15;  518.825;  682.839;  676.354;-164.01343
 186.49;  581.799;  759.198;  801.017;-177.39884
 186.84;-1508.575;-1388.427;-1362.322;-120.14752
 187.18;  -67.924;  -79.744;  -49.324;11.82015
 187.52; -460.590; -542.412; -544.324;81.82185
 187.86; 1053.716; 1010.949; 1007.340;42.76706
 188.20;-1074.953; -998.715;-1019.327;-76.23804
 188.54; 6724.732; 6990.600; 6909.675;-265.86762
 188.89; 7866.412; 8086.253; 7900.010;-219.84175
