Time Current Current STD
12/04/2019 15:33:26 2.620091E-8 3.153298E-11
12/04/2019 15:35:36 2.620390E-8 1.381214E-11
12/04/2019 15:37:47 2.637075E-8 1.064825E-11
12/04/2019 15:39:58 2.629967E-8 1.117203E-11
12/04/2019 15:42:08 2.646839E-8 1.860491E-11
12/04/2019 15:44:19 2.611103E-8 1.331258E-11
12/04/2019 15:46:30 2.614347E-8 1.340038E-11
12/04/2019 15:48:40 2.617159E-8 1.696998E-11
12/04/2019 15:50:51 2.619187E-8 1.314909E-11
12/04/2019 15:53:02 2.636076E-8 9.706647E-12
12/04/2019 15:55:12 2.634880E-8 9.676371E-12
12/04/2019 15:57:23 2.633391E-8 3.760342E-11
12/04/2019 15:59:34 2.743967E-8 1.857161E-11
12/04/2019 16:01:44 2.767660E-8 1.224079E-11
12/04/2019 16:03:55 2.795335E-8 8.359343E-12
12/04/2019 16:06:06 2.780552E-8 1.290385E-11
12/04/2019 16:08:16 2.787977E-8 9.712702E-12
12/04/2019 16:10:27 2.773881E-8 1.422087E-11
12/04/2019 16:12:38 2.774401E-8 2.035792E-11
12/04/2019 16:14:48 2.789437E-8 1.083899E-11
12/04/2019 16:16:59 2.784716E-8 4.462151E-11
12/04/2019 16:19:10 2.814427E-8 1.192894E-11
12/04/2019 16:21:20 2.814764E-8 1.710017E-11
12/04/2019 16:23:31 2.839068E-8 1.503228E-11
12/04/2019 16:25:42 2.847749E-8 1.167462E-11
12/04/2019 16:27:52 2.839166E-8 2.088170E-11
12/04/2019 16:30:03 2.876146E-8 1.114781E-11
12/04/2019 16:32:14 2.874422E-8 1.856858E-11
12/04/2019 16:34:24 2.898543E-8 1.477796E-11
12/04/2019 16:36:35 2.859424E-8 1.393325E-11
12/04/2019 16:38:46 2.942831E-8 2.007332E-11
12/04/2019 16:40:57 2.945009E-8 1.772084E-11
12/04/2019 16:43:07 2.974453E-8 4.934767E-11
12/04/2019 16:45:18 2.988247E-8 1.597691E-11
12/04/2019 16:47:29 3.039741E-8 8.643942E-12
12/04/2019 16:49:39 3.057178E-8 1.159106E-10
12/04/2019 16:51:50 2.988084E-8 6.062567E-11
12/04/2019 16:54:01 3.090465E-8 8.486504E-12
12/04/2019 16:56:11 3.158270E-8 2.154476E-11
12/04/2019 16:58:22 3.114411E-8 8.848914E-11
12/04/2019 17:00:33 3.131737E-8 4.218122E-11
12/04/2019 17:02:43 3.240077E-8 1.735146E-11
12/04/2019 17:04:54 3.229615E-8 1.562268E-11
12/04/2019 17:07:05 3.153912E-8 8.958515E-11
12/04/2019 17:09:15 3.116412E-8 1.346366E-10
12/04/2019 17:11:26 3.156568E-8 5.153969E-11
12/04/2019 17:13:37 3.085221E-8 7.001441E-11
12/04/2019 17:15:47 2.767217E-8 1.182994E-10
12/04/2019 17:17:58 2.482081E-8 5.911790E-11
12/04/2019 17:20:09 2.358103E-8 5.576932E-12
12/04/2019 17:22:19 2.345862E-8 5.422522E-12
12/04/2019 17:24:30 2.333287E-8 1.675502E-11
12/04/2019 17:26:41 2.328809E-8 2.313730E-11
12/04/2019 17:28:51 2.352949E-8 9.615818E-12
12/04/2019 17:31:02 2.357788E-8 8.798352E-12
12/04/2019 17:33:13 2.332911E-8 1.547432E-11
12/04/2019 17:35:23 2.348414E-8 7.205808E-12
12/04/2019 17:37:34 2.338152E-8 1.496568E-11
12/04/2019 17:39:45 2.319585E-8 7.796200E-12
12/04/2019 17:41:55 2.330931E-8 1.118111E-11
12/04/2019 17:44:06 2.334425E-8 1.187142E-11
12/04/2019 17:46:17 2.297604E-8 1.234070E-11
12/04/2019 17:48:28 2.298070E-8 2.561392E-11
12/04/2019 17:50:38 2.254991E-8 2.289509E-11
