Time Current Current STD
16/04/2019 18:03:11 1.159398E-8 7.233662E-11
16/04/2019 18:05:22 1.157099E-8 8.342085E-11
16/04/2019 18:07:33 1.159704E-8 6.675364E-11
16/04/2019 18:09:44 1.147989E-8 1.370012E-10
16/04/2019 18:11:54 1.148162E-8 1.348576E-10
16/04/2019 18:14:05 1.147611E-8 1.359869E-10
16/04/2019 18:16:16 1.150303E-8 1.204884E-10
16/04/2019 18:18:27 1.151914E-8 1.078933E-10
16/04/2019 18:20:38 1.158387E-8 6.876399E-11
16/04/2019 18:22:48 1.154966E-8 8.944587E-11
16/04/2019 18:24:59 1.148838E-8 1.252115E-10
16/04/2019 18:27:10 1.148787E-8 1.266708E-10
16/04/2019 18:29:21 1.149514E-8 1.195710E-10
16/04/2019 18:31:31 1.153913E-8 9.232214E-11
16/04/2019 18:33:42 1.155686E-8 8.087762E-11
16/04/2019 18:35:53 1.146387E-8 1.372434E-10
16/04/2019 18:38:04 1.156081E-8 7.593953E-11
16/04/2019 18:40:15 1.151007E-8 1.060858E-10
16/04/2019 18:42:25 1.156634E-8 7.101051E-11
16/04/2019 18:44:36 1.146658E-8 1.302102E-10
16/04/2019 18:46:47 1.148323E-8 1.216540E-10
16/04/2019 18:48:58 1.150193E-8 1.084323E-10
16/04/2019 18:51:09 1.147781E-8 1.233434E-10
16/04/2019 18:53:19 1.154174E-8 8.644850E-11
16/04/2019 18:55:30 1.147730E-8 1.229680E-10
16/04/2019 18:57:41 1.144851E-8 1.387481E-10
16/04/2019 18:59:52 1.149960E-8 1.094314E-10
16/04/2019 19:02:03 1.146722E-8 1.288296E-10
16/04/2019 19:04:13 1.153298E-8 8.806829E-11
16/04/2019 19:06:24 1.145574E-8 1.346124E-10
16/04/2019 19:08:35 1.155009E-8 7.728986E-11
16/04/2019 19:10:46 1.145220E-8 1.372585E-10
16/04/2019 19:12:56 1.145035E-8 1.376309E-10
16/04/2019 19:15:07 1.155720E-8 7.315409E-11
16/04/2019 19:17:18 1.154609E-8 7.922150E-11
16/04/2019 19:19:29 1.149080E-8 1.136519E-10
16/04/2019 19:21:40 1.156899E-8 6.671125E-11
16/04/2019 19:23:50 1.152167E-8 9.497739E-11
16/04/2019 19:26:01 1.155202E-8 7.637854E-11
16/04/2019 19:28:12 1.152389E-8 9.318805E-11
16/04/2019 19:30:23 1.156486E-8 6.835223E-11
16/04/2019 19:32:34 1.145806E-8 1.339281E-10
16/04/2019 19:34:44 1.156793E-8 6.817966E-11
16/04/2019 19:36:55 1.156415E-8 7.015671E-11
16/04/2019 19:39:06 1.157069E-8 6.696860E-11
16/04/2019 19:41:17 1.152638E-8 9.437186E-11
16/04/2019 19:43:28 1.147639E-8 1.236553E-10
16/04/2019 19:45:38 1.147633E-8 1.241761E-10
16/04/2019 19:47:49 1.145229E-8 1.397351E-10
16/04/2019 19:50:00 1.149566E-8 1.137821E-10
16/04/2019 19:52:11 1.156877E-8 7.025360E-11
16/04/2019 19:54:21 1.152632E-8 9.328191E-11
16/04/2019 19:56:32 1.145732E-8 1.351543E-10
16/04/2019 19:58:43 1.154195E-8 8.414749E-11
16/04/2019 20:00:54 1.148218E-8 1.200978E-10
16/04/2019 20:03:05 1.147137E-8 1.258534E-10
16/04/2019 20:05:15 1.156460E-8 6.903346E-11
16/04/2019 20:07:26 1.145992E-8 1.317058E-10
16/04/2019 20:09:37 1.148609E-8 1.146268E-10
16/04/2019 20:11:48 1.150514E-8 1.054500E-10
16/04/2019 20:13:59 1.144786E-8 1.391629E-10
16/04/2019 20:16:09 1.154609E-8 7.954849E-11
16/04/2019 20:18:20 1.155991E-8 7.158274E-11
16/04/2019 20:20:31 1.154168E-8 7.999961E-11
16/04/2019 20:22:42 1.147966E-8 1.179300E-10
16/04/2019 20:24:53 1.153521E-8 8.456833E-11
16/04/2019 20:27:03 1.147857E-8 1.186143E-10
16/04/2019 20:29:14 1.145304E-8 1.328775E-10
16/04/2019 20:31:25 1.154514E-8 7.705370E-11
16/04/2019 20:33:36 1.147259E-8 1.209819E-10
16/04/2019 20:35:46 1.150008E-8 1.041027E-10
16/04/2019 20:37:57 1.155575E-8 7.052911E-11
16/04/2019 20:40:08 1.150743E-8 9.912224E-11
16/04/2019 20:42:19 1.153958E-8 7.969987E-11
16/04/2019 20:44:30 1.155794E-8 6.897290E-11
16/04/2019 20:46:40 1.145794E-8 1.299346E-10
16/04/2019 20:48:51 1.156141E-8 6.696860E-11
