Time Current Current STD
07/05/2019 14:38:52 6.270387E-10 6.827352E-13
07/05/2019 14:39:24 6.270830E-10 2.478435E-13
07/05/2019 14:39:57 6.227861E-10 4.725859E-13
04/2019 17:59:51 3.084601E-8 6.885180E-11
10/04/2019 18:03:02 3.054046E-8 1.615554E-11
10/04/2019 18:06:13 3.032216E-8 2.354906E-11
10/04/2019 18:09:23 2.952952E-8 2.690067E-11
10/04/2019 18:12:34 2.854163E-8 2.649497E-11
10/04/2019 18:15:45 2.731954E-8 3.162078E-11
10/04/2019 18:18:56 2.580607E-8 3.052477E-11
10/04/2019 18:22:06 2.428281E-8 2.833881E-11
10/04/2019 18:25:17 2.347698E-8 1.330955E-11
10/04/2019 18:28:28 2.324486E-8 1.152324E-11
10/04/2019 18:31:38 2.321502E-8 8.365398E-12
10/04/2019 18:34:49 2.353179E-8 8.165573E-12
10/04/2019 18:38:00 2.381159E-8 7.511601E-12
10/04/2019 18:41:10 2.400304E-8 8.017218E-12
10/04/2019 18:44:21 2.411189E-8 1.005180E-11
10/04/2019 18:47:32 2.395114E-8 9.767200E-12
10/04/2019 18:50:42 2.347531E-8 1.865941E-11
10/04/2019 18:53:53 2.275092E-8 2.156898E-11
10/04/2019 18:57:04 2.212973E-8 1.452667E-11
10/04/2019 19:00:14 2.165080E-8 1.547129E-11
10/04/2019 19:03:25 2.133693E-8 1.396958E-11
10/04/2019 19:06:36 2.105888E-8 9.994274E-12
10/04/2019 19:09:46 2.089430E-8 1.033034E-11
10/04/2019 19:12:57 2.083985E-8 7.363246E-12
10/04/2019 19:16:08 2.084538E-8 1.127194E-11
10/04/2019 19:19:19 2.052794E-8 1.317633E-11
10/04/2019 19:22:29 1.966388E-8 1.724065E-10
10/04/2019 19:25:40 1.909163E-8 1.701782E-10
10/04/2019 19:28:51 1.871488E-8 1.665450E-10
10/04/2019 19:32:02 1.829005E-8 1.592332E-10
10/04/2019 19:35:12 1.774776E-8 1.543526E-10
10/04/2019 19:38:23 1.736247E-8 1.544374E-10
10/04/2019 19:41:34 1.711150E-8 1.512826E-10
10/04/2019 19:44:45 1.700430E-8 1.523060E-10
10/04/2019 19:47:56 1.688280E-8 1.523816E-10
10/04/2019 19:51:06 1.683562E-8 1.509798E-10
10/04/2019 19:54:17 1.677855E-8 1.464959E-10
10/04/2019 19:57:28 1.672293E-8 1.456572E-10
10/04/2019 20:00:39 1.660425E-8 1.449881E-10
10/04/2019 20:03:50 1.651850E-8 1.442948E-10
10/04/2019 20:07:00 1.647017E-8 1.463385E-10
10/04/2019 20:10:11 1.638955E-8 1.459297E-10
10/04/2019 20:13:22 1.629189E-8 1.422420E-10
10/04/2019 20:16:33 1.624834E-8 1.459872E-10
10/04/2019 20:19:43 1.624534E-8 1.427931E-10
10/04/2019 20:22:54 1.623847E-8 1.460145E-10
10/04/2019 20:26:05 1.623984E-8 1.415124E-10
10/04/2019 20:29:16 1.622931E-8 1.429112E-10
10/04/2019 20:32:27 1.622366E-8 1.422299E-10
10/04/2019 20:35:37 1.622043E-8 1.415063E-10
10/04/2019 20:38:48 1.621188E-8 1.455361E-10
10/04/2019 20:41:59 1.621222E-8 1.447217E-10
10/04/2019 20:45:10 1.621332E-8 1.441374E-10
10/04/2019 20:48:21 1.621788E-8 1.449124E-10
10/04/2019 20:51:31 1.621266E-8 1.448246E-10
10/04/2019 20:54:42 1.621438E-8 1.444250E-10
10/04/2019 20:57:53 1.621540E-8 1.440162E-10
10/04/2019 21:01:04 1.622040E-8 1.411248E-10
10/04/2019 21:04:14 1.621971E-8 1.421633E-10
10/04/2019 21:07:25 1.622085E-8 1.416183E-10
