Time Current Current STD
30/04/2019 09:52:54 5.227813E-10 6.741939E-11
30/04/2019 09:53:34 4.762040E-10 1.401106E-12
30/04/2019 09:54:15 4.757914E-10 1.861581E-12
30/04/2019 09:54:55 4.753517E-10 4.845815E-12
30/04/2019 09:55:36 4.757783E-10 2.909511E-12
30/04/2019 09:56:17 4.761228E-10 8.079285E-13
30/04/2019 09:56:57 4.764436E-10 1.831395E-12
30/04/2019 09:57:38 4.765213E-10 1.711198E-12
30/04/2019 09:58:18 4.766975E-10 1.206367E-12
30/04/2019 09:58:59 4.787701E-10 1.442297E-11
30/04/2019 09:59:39 4.755477E-10 1.469712E-12
30/04/2019 10:00:20 4.765375E-10 8.138627E-13
30/04/2019 10:01:00 4.760695E-10 1.284814E-12
30/04/2019 10:01:41 4.765419E-10 7.131025E-13
30/04/2019 10:02:21 4.765487E-10 8.995755E-13
30/04/2019 10:03:02 4.762006E-10 1.168068E-12
30/04/2019 10:03:43 4.787089E-10 5.250460E-12
30/04/2019 10:04:23 4.763341E-10 1.174607E-12
30/04/2019 10:05:04 4.761740E-10 1.415760E-12
30/04/2019 10:05:44 4.761371E-10 1.257141E-12
30/04/2019 10:06:25 4.763669E-10 8.104112E-13
30/04/2019 10:07:05 4.772570E-10 2.187175E-12
30/04/2019 10:07:46 4.768055E-10 5.365299E-13
30/04/2019 10:08:26 4.756944E-10 1.841659E-12
30/04/2019 10:09:07 4.767044E-10 9.021490E-13
30/04/2019 10:09:47 4.758454E-10 1.803783E-12
30/04/2019 10:10:28 4.768054E-10 1.850076E-12
30/04/2019 10:11:09 4.766264E-10 6.196692E-13
30/04/2019 10:11:49 4.775248E-10 2.243186E-12
30/04/2019 10:12:30 4.766175E-10 5.209678E-13
30/04/2019 10:13:10 4.761312E-10 2.284241E-12
30/04/2019 10:13:51 4.765604E-10 6.428004E-13
30/04/2019 10:14:31 4.762772E-10 2.342221E-12
30/04/2019 10:15:12 4.765449E-10 8.087157E-13
30/04/2019 10:15:52 4.764581E-10 6.497035E-13
30/04/2019 10:16:33 4.767654E-10 8.494073E-13
30/04/2019 10:17:13 4.760365E-10 7.883396E-13
30/04/2019 10:17:54 4.768122E-10 2.416701E-12
30/04/2019 10:18:35 4.768726E-10 1.949471E-11
30/04/2019 10:19:15 4.748475E-10 8.457438E-13
30/04/2019 10:19:56 4.749787E-10 1.066823E-12
30/04/2019 10:20:36 4.769498E-10 6.830682E-13
30/04/2019 10:21:17 4.749742E-10 5.654440E-13
30/04/2019 10:21:57 4.722180E-10 1.237180E-11
30/04/2019 10:22:38 4.756709E-10 1.118202E-12
30/04/2019 10:23:18 4.850219E-10 2.622097E-11
30/04/2019 10:23:59 4.906302E-10 3.922203E-11
30/04/2019 10:24:39 4.744322E-10 1.853528E-12
30/04/2019 10:25:20 4.751346E-10 7.832229E-13
30/04/2019 10:26:01 4.901367E-10 2.948178E-11
30/04/2019 10:26:41 4.769545E-10 1.823705E-12
30/04/2019 10:27:22 4.807804E-10 6.691107E-12
30/04/2019 10:28:02 4.756317E-10 4.879634E-12
30/04/2019 10:28:43 4.875001E-10 1.346993E-11
30/04/2019 10:29:23 4.770147E-10 3.206615E-12
30/04/2019 10:30:04 4.764161E-10 2.931674E-12
30/04/2019 10:30:44 4.775826E-10 2.419244E-12
30/04/2019 10:31:25 4.799970E-10 7.076618E-12
