Time Current Current STD
11/04/2019 11:38:35 3.702024E-8 1.522575E-10
11/04/2019 11:41:46 4.503331E-8 5.377955E-10
11/04/2019 11:44:56 4.675928E-8 1.678469E-10
11/04/2019 11:48:07 6.049192E-8 3.810692E-10
11/04/2019 11:51:18 1.111224E-7 5.707454E-9
11/04/2019 11:54:28 1.279146E-7 1.370605E-8
11/04/2019 11:57:39 1.001082E-7 6.037916E-9
11/04/2019 12:00:50 1.164622E-7 9.891334E-10
11/04/2019 12:04:00 8.416199E-8 2.366993E-9
11/04/2019 12:07:11 7.396255E-8 2.382458E-10
11/04/2019 12:10:22 6.422778E-8 1.337858E-10
11/04/2019 12:13:32 5.884240E-8 4.678174E-10
11/04/2019 12:16:43 5.417430E-8 1.412217E-10
11/04/2019 12:19:54 4.708739E-8 1.310973E-10
11/04/2019 12:23:04 5.190408E-8 3.423940E-10
11/04/2019 12:26:15 5.132834E-8 1.058588E-10
11/04/2019 12:29:26 5.556234E-8 6.877913E-11
11/04/2019 12:32:36 6.578129E-8 2.358534E-9
11/04/2019 12:35:47 1.239075E-7 9.079015E-9
11/04/2019 12:38:58 7.590889E-8 4.523522E-10
11/04/2019 12:42:08 9.022266E-8 8.966532E-9
11/04/2019 12:45:19 1.002638E-7 5.581912E-9
11/04/2019 12:48:30 6.728175E-8 6.101775E-10
11/04/2019 12:51:40 7.274836E-8 9.986462E-10
11/04/2019 12:54:51 1.067609E-7 1.742805E-8
11/04/2019 12:58:02 1.225875E-7 1.657457E-9
11/04/2019 13:01:13 6.830569E-8 2.442648E-10
11/04/2019 13:04:23 6.964176E-8 1.471090E-9
11/04/2019 13:07:34 1.068318E-7 9.193527E-9
11/04/2019 13:10:45 1.239139E-7 5.654743E-10
11/04/2019 13:13:55 9.600840E-8 9.938141E-9
11/04/2019 13:17:06 6.808655E-8 8.542515E-11
11/04/2019 13:20:17 7.745145E-8 8.936049E-10
11/04/2019 13:23:27 8.094765E-8 5.164321E-9
11/04/2019 13:26:43 1.376624E-7 1.065975E-9
11/04/2019 13:29:57 1.397769E-7 3.181455E-10
11/04/2019 13:33:08 1.316256E-7 5.187273E-10
11/04/2019 13:36:19 1.189115E-7 3.299443E-9
11/04/2019 13:39:29 1.421621E-7 6.146433E-10
11/04/2019 13:42:40 5.786624E-8 1.353390E-10
11/04/2019 13:45:51 7.393991E-8 8.410237E-10
11/04/2019 13:49:02 5.845745E-8 2.242460E-10
11/04/2019 13:52:12 6.367056E-8 4.911848E-10
11/04/2019 13:55:23 1.012313E-7 8.628843E-9
11/04/2019 13:58:34 1.064311E-7 4.519888E-9
11/04/2019 14:01:44 9.496616E-8 4.069674E-9
11/04/2019 14:04:55 5.064088E-8 1.030279E-10
11/04/2019 14:08:06 3.837979E-8 2.924937E-9
